Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
PAROMOMYCIN SULFATE,PAROMOMYCIN SULFATE,Infectious,SHORT,chemical,CHEMBL2206196,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
PAROXETINE HYDROCHLORIDE,PAROXETINE | PAROXETINE HYDROCHLORIDE | PAXIL | PAXIL CR,Psychiatric,CHRONIC,chemical,CHEMBL6067650,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
PAROXETINE MESYLATE,BRISDELLE | PAROXETINE MESYLATE,Psychiatric,CHRONIC,chemical,CHEMBL1200609,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
PASIREOTIDE DIASPARTATE,SIGNIFOR,Metabolic,CHRONIC,chemical,CHEMBL5314380,SSTR5 | SSTR2 | SSTR1 | SSTR3,Somatostatin receptor type 5 | Somatostatin receptor type 2 | Somatostatin receptor type 1 | Somatostatin receptor type 3,Somatostatin receptor 5 agonist; Somatostatin receptor 2 agonist; Somatostatin receptor 1 agonist; Somatostatin receptor 3 agonist,AGONIST,CHEMBL1792; CHEMBL1804; CHEMBL1917; CHEMBL2028,4,direct
PASIREOTIDE PAMOATE,SIGNIFOR LAR KIT,Metabolic,CHRONIC,chemical,CHEMBL5314382,SSTR3 | SSTR5 | SSTR2 | SSTR1,Somatostatin receptor type 3 | Somatostatin receptor type 5 | Somatostatin receptor type 2 | Somatostatin receptor type 1,Somatostatin receptor 3 agonist; Somatostatin receptor 5 agonist; Somatostatin receptor 2 agonist; Somatostatin receptor 1 agonist,AGONIST,CHEMBL2028; CHEMBL1792; CHEMBL1804; CHEMBL1917,4,direct
PATIROMER SORBITEX CALCIUM,VELTASSA,Metabolic,CHRONIC,polymer,CHEMBL5315081,,Potassium,Potassium chelating agent,CHELATING AGENT,CHEMBL3545434,1,direct
PATISIRAN SODIUM,ONPATTRO,Other/Unclassified,OTHER,nucleicAcid,CHEMBL4297536,,Transthyretin mRNA,Transthyretin mRNA RNAi inhibitor,RNAI INHIBITOR,CHEMBL4296221,1,direct
PAZOPANIB HYDROCHLORIDE,PAZOPANIB HYDROCHLORIDE | VOTRIENT,Other/Unclassified,OTHER,chemical,CHEMBL1201733,"CSF1R | KIT | LCK | FGFR3 | FGFR1 | PDGFRB, PDGFRA | FLT1, FLT4, KDR | ITK",Macrophage colony-stimulating factor 1 receptor | Mast/stem cell growth factor receptor Kit | Tyrosine-protein kinase Lck | Fibroblast growth factor receptor 3 | Fibroblast growth factor receptor 1 | Platelet-derived growth factor receptor | Vascular endothelial growth factor receptor | Tyrosine-protein kinase ITK/TSK,Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase LCK inhibitor; Fibroblast growth factor receptor 3 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Platelet-derived growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor,INHIBITOR,CHEMBL1844; CHEMBL1936; CHEMBL258; CHEMBL2742; CHEMBL3650; CHEMBL2095189; CHEMBL2095227; CHEMBL2959,8,direct
PEGCETACOPLAN,EMPAVELI | SYFOVRE,Other/Unclassified,OTHER,protein,CHEMBL4298211,C3,Complement C3,Complement C3 inhibitor,INHIBITOR,CHEMBL4917,1,direct
PEGULICIANINE ACETATE,LUMISIGHT,Other/Unclassified,OTHER,protein,CHEMBL4594345,,,Diagnostic agent,,,0,direct
PEMETREXED,PEMETREXED | PEMFEXY,Oncology,LONG-TERM,chemical,CHEMBL225072,DHFR | TYMS | GART,Dihydrofolate reductase | Thymidylate synthase | Trifunctional purine biosynthetic protein adenosine-3,Dihydrofolate reductase inhibitor; Thymidylate synthase inhibitor; GAR transformylase inhibitor,INHIBITOR,CHEMBL202; CHEMBL1952; CHEMBL3972,3,direct
PEMETREXED DIPOTASSIUM,AXTLE,Oncology,LONG-TERM,chemical,CHEMBL6068329,GART | thyA | DHFR,Trifunctional purine biosynthetic protein adenosine-3 | Thymidylate synthase | Dihydrofolate reductase,GAR transformylase inhibitor; Thymidylate synthase inhibitor; Dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL3972; CHEMBL2555; CHEMBL202,3,direct
PEMETREXED DISODIUM,ALIMTA | PEMETREXED | PEMETREXED DISODIUM,Oncology,LONG-TERM,chemical,CHEMBL2360464,TYMS | DHFR | GART,Thymidylate synthase | Dihydrofolate reductase | Trifunctional purine biosynthetic protein adenosine-3,Thymidylate synthase inhibitor; Dihydrofolate reductase inhibitor; GAR transformylase inhibitor,INHIBITOR,CHEMBL1952; CHEMBL202; CHEMBL3972,3,direct
PEMIGATINIB,PEMAZYRE,Oncology,LONG-TERM,chemical,CHEMBL4297522,FGFR2 | FGFR3 | FGFR1,Fibroblast growth factor receptor 2 | Fibroblast growth factor receptor 3 | Fibroblast growth factor receptor 1,Fibroblast growth factor receptor 2 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Fibroblast growth factor receptor 1 inhibitor,INHIBITOR,CHEMBL4142; CHEMBL2742; CHEMBL3650,3,direct
PENCICLOVIR,DENAVIR | PENCICLOVIR,Other/Unclassified,OTHER,chemical,CHEMBL1540,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
PENICILLAMINE,CUPRIMINE | DEPEN | PENICILLAMINE,Autoimmune,CHRONIC,chemical,CHEMBL1430,,Copper,Copper chelating agent,CHELATING AGENT,CHEMBL2363057,1,direct
PENICILLIN G BENZATHINE,BICILLIN L-A,Infectious,SHORT,chemical,CHEMBL3989515,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
PENICILLIN G BENZATHINE; PENICILLIN G PROCAINE,BICILLIN C-R | BICILLIN C-R 900/300,Infectious,SHORT,chemical,CHEMBL3989515 | CHEMBL1200936,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor; Unknown,INHIBITOR,CHEMBL2354204,1,combination
PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM | PENICILLIN G POTASSIUM IN PLASTIC CONTAINER | PFIZERPEN,Infectious,SHORT,chemical,CHEMBL1223,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,Infectious,SHORT,chemical,CHEMBL1200936,,,Unknown,,,0,direct
PENICILLIN G SODIUM,PENICILLIN G SODIUM,Infectious,SHORT,chemical,CHEMBL1126,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM | PENICILLIN-VK,Infectious,SHORT,chemical,CHEMBL1200852,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
PENTAMIDINE ISETHIONATE,NEBUPENT | PENTAM | PENTAMIDINE ISETHIONATE,Infectious,SHORT,chemical,CHEMBL361506,,DNA | Kinetoplast DNA,DNA inhibitor; Kinetoplast DNA inhibitor,INHIBITOR,CHEMBL2366046; CHEMBL2366047,2,direct
PENTOBARBITAL SODIUM,NEMBUTAL SODIUM | PENTOBARBITAL SODIUM,Other/Unclassified,OTHER,chemical,CHEMBL971,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
PENTOSAN POLYSULFATE SODIUM,ELMIRON,Other/Unclassified,OTHER,polymer,CHEMBL1201516,,,Unknown,,,0,direct
PENTOSTATIN,NIPENT | PENTOSTATIN,Metabolic,CHRONIC,chemical,CHEMBL1580,ADA,Adenosine deaminase,Adenosine deaminase inhibitor,INHIBITOR,CHEMBL1910,1,direct
PENTOXIFYLLINE,PENTOXIFYLLINE,Other/Unclassified,OTHER,chemical,CHEMBL628,"ADORA2B, ADORA2A | PDE5A, PDE4A, PDE3A, PDE6H, PDE6G, PDE2A, PDE7A, PDE1A, PDE9A, PDE6B, PDE4D, PDE4B, PDE6D, PDE6A, PDE3B, PDE6C, PDE8B, PDE10A, PDE1B, PDE4C, PDE1C, PDE8A, PDE7B","Adenosine A2 receptor | 3',5'-cyclic phosphodiesterase","Adenosine A2 receptor antagonist; 3',5'-cyclic phosphodiesterase inhibitor",ANTAGONIST | INHIBITOR,CHEMBL2094257; CHEMBL2363066,2,direct
PERAMIVIR,RAPIVAB,Other/Unclassified,OTHER,chemical,CHEMBL3989402,NA,Neuraminidase,Neuraminidase inhibitor,INHIBITOR,CHEMBL3377; CHEMBL2051,2,direct
PERAMPANEL,FYCOMPA | PERAMPANEL,Neurology,CHRONIC,chemical,CHEMBL1214124,"GRIA4, GRIA3, GRIA2, GRIA1",Glutamate receptor ionotropic AMPA,Glutamate receptor ionotropic AMPA antagonist,ANTAGONIST,CHEMBL2096670,1,direct
PERFLUOROHEXYLOCTANE,MIEBO,Other/Unclassified,OTHER,chemical,CHEMBL5314588,,,Unknown,,,0,direct
PERFLUTREN,DEFINITY | DEFINITY RT,Other/Unclassified,OTHER,chemical,CHEMBL1663,,,Diagnostic agent,,,0,direct
PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,Other/Unclassified,OTHER,chemical,CHEMBL1200343,ACE,Angiotensin-converting enzyme,Angiotensin-converting enzyme inhibitor,INHIBITOR,CHEMBL1808,1,direct
PERMETHRIN,ELIMITE | NIX | PERMETHRIN,Dermatology,SHORT,mixture,CHEMBL1525,vssc,Voltage-sensitive sodium channel,Voltage-sensitive sodium channel blocker,BLOCKER,CHEMBL2362985,1,direct
PERPHENAZINE,PERPHENAZINE,Psychiatric,CHRONIC,chemical,CHEMBL567,DRD2,D(2) dopamine receptor,Dopamine D2 receptor antagonist,ANTAGONIST,CHEMBL217,1,direct
PEXIDARTINIB HYDROCHLORIDE,TURALIO,Oncology,LONG-TERM,chemical,CHEMBL3989973,CSF1R | FLT3 | KIT,Macrophage colony-stimulating factor 1 receptor | Receptor-type tyrosine-protein kinase FLT3 | Mast/stem cell growth factor receptor Kit,Macrophage colony stimulating factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Stem cell growth factor receptor inhibitor,INHIBITOR,CHEMBL1844; CHEMBL1974; CHEMBL1936,3,direct
PHENDIMETRAZINE TARTRATE,BONTRIL PDM | PHENDIMETRAZINE TARTRATE,Other/Unclassified,OTHER,chemical,CHEMBL2062163,SLC6A3 | SLC6A2,Sodium-dependent dopamine transporter | Sodium-dependent noradrenaline transporter,Dopamine transporter inhibitor; Norepinephrine transporter inhibitor,INHIBITOR,CHEMBL238; CHEMBL222,2,direct
PHENELZINE SULFATE,NARDIL | PHENELZINE SULFATE,Other/Unclassified,OTHER,chemical,CHEMBL1200895,"MAOA, MAOB",Monoamine oxidase,Monoamine oxidase inhibitor,INHIBITOR,CHEMBL2095205,1,direct
PHENOBARBITAL SODIUM,SEZABY,Neurology,CHRONIC,chemical,,,,,,,0,not_found
PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE,Other/Unclassified,OTHER,chemical,CHEMBL1200787,"ADRA1A, ADRA2A, ADRA2C, ADRA1D, ADRA1B, ADRA2B",Adrenergic receptor alpha,Adrenergic receptor alpha antagonist,ANTAGONIST,CHEMBL2095203,1,direct
PHENTERMINE HYDROCHLORIDE,ADIPEX-P | LOMAIRA | PHENTERMINE HYDROCHLORIDE,Metabolic,SHORT,chemical,CHEMBL1200912,SLC6A2,Sodium-dependent noradrenaline transporter,Norepinephrine transporter releasing agent,RELEASING AGENT,CHEMBL222,1,direct
PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,PHENTERMINE HYDROCHLORIDE AND TOPIRAMATE | QSYMIA,Metabolic,SHORT,chemical,CHEMBL1200912 | CHEMBL220492,"SLC6A2 | CA2 | CA4 | GRIA4, GRIA3, GRIA2, GRIA1 | GRIK1, GRIK5, GRIK4, GRIK2, GRIK3 | GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6 | SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",Sodium-dependent noradrenaline transporter | Carbonic anhydrase 2 | Carbonic anhydrase 4 | Glutamate receptor ionotropic AMPA | Glutamate receptor ionotropic kainate | GABA-A receptor; anion channel | Sodium channel alpha subunit,Norepinephrine transporter releasing agent; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; GABA-A receptor; anion channel positive modulator; Sodium channel alpha subunit blocker,RELEASING AGENT | INHIBITOR | ANTAGONIST | POSITIVE MODULATOR | BLOCKER,CHEMBL222; CHEMBL205; CHEMBL3729; CHEMBL2096670; CHEMBL2109241; CHEMBL2093872; CHEMBL2331043,7,combination
PHENTOLAMINE MESYLATE,ORAVERSE | PHENTOLAMINE MESYLATE | RYZUMVI,Other/Unclassified,OTHER,chemical,CHEMBL1200873,"ADRA1A, ADRA2A, ADRA2C, ADRA1D, ADRA1B, ADRA2B",Adrenergic receptor alpha,Adrenergic receptor alpha antagonist,ANTAGONIST,CHEMBL2095203,1,direct
PHENYLEPHRINE HYDROCHLORIDE,BIORPHEN | IMMPHENTIV | PHENYLEPHRINE HYDROCHLORIDE | PHENYLEPHRINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,Cardiovascular,SHORT,chemical,CHEMBL1200339,"ADRA1A, ADRA1D, ADRA1B",Adrenergic receptor alpha-1,Adrenergic receptor alpha-1 agonist,AGONIST,CHEMBL2094251,1,direct
PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE AND PROMETHAZINE HYDROCHLORIDE | PROMETHAZINE HYDROCHLORIDE AND PHENYLEPHRINE HYDROCHLORIDE,Cardiovascular,SHORT,chemical,CHEMBL1200339 | CHEMBL1200750,"ADRA1A, ADRA1D, ADRA1B | HRH1",Adrenergic receptor alpha-1 | Histamine H1 receptor,Adrenergic receptor alpha-1 agonist; Histamine H1 receptor antagonist,AGONIST | ANTAGONIST,CHEMBL2094251; CHEMBL231,2,combination
PHENYTOIN,DILANTIN | DILANTIN-125 | PHENYTOIN,Neurology,CHRONIC,chemical,CHEMBL16,"SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",Sodium channel alpha subunit,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,1,direct
PHENYTOIN SODIUM,DILANTIN | EXTENDED PHENYTOIN SODIUM | PHENYTEK | PHENYTOIN SODIUM,Neurology,CHRONIC,chemical,CHEMBL1611,"SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",Sodium channel alpha subunit,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,1,direct
PHYTONADIONE,PHYTONADIONE | VITAMIN K1,Metabolic,SHORT,mixture,,,,,,,0,not_found
PIFLUFOLASTAT F-18,PYLARIFY | PYLARIFY TRUVU,Other/Unclassified,OTHER,chemical,CHEMBL4297334,,,Diagnostic agent,,,0,direct
PILOCARPINE HYDROCHLORIDE,ISOPTO CARPINE | PILOCARPINE HYDROCHLORIDE | QLOSI | SALAGEN,Ophthalmology,CHRONIC,chemical,CHEMBL1200330,CHRM3 | CHRM1,Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M3 agonist; Muscarinic acetylcholine receptor M1 agonist,AGONIST,CHEMBL245; CHEMBL216,2,direct
PIMAVANSERIN TARTRATE,NUPLAZID,Other/Unclassified,OTHER,chemical,CHEMBL2448613,HTR2A,5-hydroxytryptamine receptor 2A,Serotonin 2a (5-HT2a) receptor inverse agonist,INVERSE AGONIST,CHEMBL224,1,direct
PIMECROLIMUS,ELIDEL | PIMECROLIMUS,Dermatology,CHRONIC,chemical,CHEMBL1200686,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A,FK506-binding protein 1A inhibitor,INHIBITOR,CHEMBL1902,1,direct
PIMOZIDE,PIMOZIDE,Other/Unclassified,OTHER,chemical,CHEMBL1423,"HTR2A | DRD2, DRD3, DRD5, DRD4, DRD1",5-hydroxytryptamine receptor 2A | Dopamine receptor,Serotonin 2a (5-HT2a) receptor antagonist; Dopamine receptor antagonist,ANTAGONIST,CHEMBL224; CHEMBL2096905,2,direct
PINDOLOL,PINDOLOL,Cardiovascular,CHRONIC,chemical,CHEMBL500,ADRB1 | ADRB2,Beta-1 adrenergic receptor | Beta-2 adrenergic receptor,Beta-1 adrenergic receptor partial agonist; Beta-2 adrenergic receptor partial agonist,PARTIAL AGONIST,CHEMBL213; CHEMBL210,2,direct
PIOGLITAZONE HYDROCHLORIDE,ACTOS | PIOGLITAZONE HYDROCHLORIDE,Metabolic,CHRONIC,chemical,CHEMBL1715,PPARG,Peroxisome proliferator-activated receptor gamma,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,CHEMBL235,1,direct
PIPERACILLIN SODIUM,PIPERACILLIN,Infectious,SHORT,chemical,CHEMBL1200820,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
PIPERACILLIN SODIUM; TAZOBACTAM SODIUM,PIPERACILLIN AND TAZOBACTAM | PIPERACILLIN AND TAZOBACTAM AND SODIUM CHLORIDE IN DUPLEX CONTAINER | ZOSYN IN PLASTIC CONTAINER,Infectious,SHORT,chemical,CHEMBL1200820 | CHEMBL1439,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | bla, blaT-3, blaT-4, blaT-5, blaT-6",Bacterial penicillin-binding protein | Beta-lactamase TEM,Bacterial penicillin-binding protein inhibitor; Bacterial beta-lactamase TEM inhibitor,INHIBITOR,CHEMBL2354204; CHEMBL2364670,2,combination
PIRFENIDONE,ESBRIET | PIRFENIDONE,Psychiatric,CHRONIC,chemical,CHEMBL1256391,,,Unknown,,,0,direct
PIROXICAM,FELDENE | PIROXICAM,Pain,PERIODIC,chemical,CHEMBL527,"PTGS2, PTGS1",Cyclooxygenase,Cyclooxygenase inhibitor,INHIBITOR,CHEMBL2094253,1,direct
PIRTOBRUTINIB,JAYPIRCA,Oncology,LONG-TERM,chemical,CHEMBL4650485,BTK,Tyrosine-protein kinase BTK,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,CHEMBL5251,1,direct
PITAVASTATIN CALCIUM,LIVALO | PITAVASTATIN CALCIUM,Metabolic,CHRONIC,chemical,CHEMBL1237061,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMG-CoA reductase inhibitor,INHIBITOR,CHEMBL402,1,direct
PITAVASTATIN MAGNESIUM,ZYPITAMAG,Metabolic,CHRONIC,chemical,CHEMBL3989923,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMG-CoA reductase inhibitor,INHIBITOR,CHEMBL402,1,direct
PITOLISANT HYDROCHLORIDE,WAKIX,Psychiatric,CHRONIC,chemical,CHEMBL4164059,HRH3,Histamine H3 receptor,Histamine H3 receptor inverse agonist,INVERSE AGONIST,CHEMBL264,1,direct
PIVMECILLINAM HYDROCHLORIDE,PIVYA,Other/Unclassified,OTHER,chemical,CHEMBL1650818,mrdA,"Peptidoglycan D,D-transpeptidase MrdA",Bacterial penicillin-binding protein 2 inhibitor,INHIBITOR,CHEMBL2354313,1,direct
PLECANATIDE,TRULANCE,GI,CHRONIC,protein,CHEMBL2103867,GUCY2C,Guanylyl cyclase C,Heat-stable enterotoxin receptor agonist,AGONIST,CHEMBL1795197,1,direct
PLERIXAFOR,MOZOBIL | PLERIXAFOR,Other/Unclassified,OTHER,chemical,CHEMBL18442,CXCR4,C-X-C chemokine receptor type 4,C-X-C chemokine receptor type 4 partial agonist,PARTIAL AGONIST,CHEMBL2107,1,direct
PLOZASIRAN SODIUM,REDEMPLO,Other/Unclassified,OTHER,nucleicAcid,,,,,,,0,not_found
PODOFILOX,PODOFILOX,Other/Unclassified,OTHER,chemical,CHEMBL61,,,Unknown,,,0,direct
POLIDOCANOL,ASCLERA | VARITHENA,Other/Unclassified,OTHER,polymer,CHEMBL6067961,,,Unknown,,,0,direct
POLYETHYLENE GLYCOL 3350,MIRALAX | POLYETHYLENE GLYCOL 3350,GI,PERIODIC,polymer,CHEMBL1201479,,,Osmotic laxative,,,0,direct
POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,"NULYTELY | NULYTELY-FLAVORED | PEG-3350, POTASSIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE | TRILYTE",GI,PERIODIC,polymer,CHEMBL1201479 | CHEMBL1200731,,,Osmotic laxative; Supplement,,,0,combination
POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE ANHYDROUS,GOLYTELY | PEG 3350 AND ELECTROLYTES | POLYETHYLENE GLYCOL 3350 AND ELECTROLYTES,GI,PERIODIC,polymer,CHEMBL1201479 | CHEMBL1200731 | CHEMBL233406,,,Osmotic laxative; Supplement; Laxative,,,0,combination
POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,Infectious,SHORT,mixture,CHEMBL5314355,,Cell outer membrane,Cell outer membrane inhibitor,INHIBITOR,CHEMBL2364032,1,direct
POLYMYXIN B SULFATE; TRIMETHOPRIM SULFATE,TRIMETHOPRIM SULFATE AND POLYMYXIN B SULFATE,Infectious,SHORT,mixture,CHEMBL5314355 | CHEMBL2110367,folA,Cell outer membrane | Dihydrofolate reductase,Cell outer membrane inhibitor; Bacterial dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL2364032; CHEMBL2364669,2,combination
POMALIDOMIDE,POMALIDOMIDE | POMALYST,Oncology,LONG-TERM,chemical,CHEMBL43452,"CRBN, DDB1, CUL4A, RBX1",CRL4(CRBN) E3 ubiquitin ligase,CRL4(CRBN) E3 ubiquitin ligase inhibitor,INHIBITOR,CHEMBL3833061,1,direct
PONATINIB HYDROCHLORIDE,ICLUSIG,Oncology,LONG-TERM,chemical,CHEMBL2105708,"ABL1, BCR",Bcr/Abl fusion protein,Bcr/Abl fusion protein inhibitor,INHIBITOR,CHEMBL2096618,1,direct
PONESIMOD,PONVORY,Neurology,CHRONIC,chemical,CHEMBL1096146,S1PR1,Sphingosine 1-phosphate receptor 1,Sphingosine 1-phosphate receptor Edg-1 agonist,AGONIST,CHEMBL4333,1,direct
PORFIMER SODIUM,PHOTOFRIN,Other/Unclassified,OTHER,polymer,CHEMBL1201481,,DNA,DNA inhibitor,INHIBITOR,CHEMBL2311221,1,direct
POSACONAZOLE,NOXAFIL | NOXAFIL POWDERMIX KIT | POSACONAZOLE,Infectious,SHORT,chemical,CHEMBL1397,ERG11,Lanosterol 14-alpha demethylase,Cytochrome P450 51 inhibitor,INHIBITOR,CHEMBL1780,1,direct
POTASSIUM ACETATE,POTASSIUM ACETATE,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
POTASSIUM CHLORIDE,KLOR-CON | KLOR-CON M10 | KLOR-CON M15 | KLOR-CON M20 | POKONZA | POTASSIUM CHLORIDE | POTASSIUM CHLORIDE 10MEQ | POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 20MEQ | POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 40MEQ | POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE IN PLASTIC CONTAINER,Metabolic,CHRONIC,chemical,CHEMBL1200731,,,Supplement,,,0,direct
POTASSIUM CHLORIDE; SODIUM CHLORIDE,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.45% | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.9% | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 0.3% AND SODIUM CHLORIDE 0.9% | POTASSIUM CHLORIDE 20MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 40MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,Metabolic,CHRONIC,chemical,CHEMBL1200731,,,Supplement,,,0,component
POTASSIUM CITRATE,POTASSIUM CITRATE | UROCIT-K,Metabolic,CHRONIC,chemical,,,,,,,0,not_found
POTASSIUM IODIDE,IOSAT | POTASSIUM IODIDE | THYROSAFE,Other/Unclassified,OTHER,chemical,CHEMBL1141,,,Unknown,,,0,direct
"POTASSIUM PHOSPHATE, DIBASIC; POTASSIUM PHOSPHATE, MONOBASIC",POTASSIUM PHOSPHATES | POTASSIUM PHOSPHATES IN 0.9% SODIUM CHLORIDE,Metabolic,CHRONIC,chemical,,,,,,,0,not_found
POVIDONE-IODINE,BETADINE | POVIDONE IODINE,Other/Unclassified,OTHER,mixture,,,,,,,0,not_found
PRALATREXATE,FOLOTYN | PRALATREXATE,Other/Unclassified,OTHER,chemical,CHEMBL1201746,DHFR,Dihydrofolate reductase,Dihydrofolate reductase inhibitor,INHIBITOR,CHEMBL202,1,direct
PRALIDOXIME CHLORIDE,PROTOPAM CHLORIDE,Other/Unclassified,OTHER,chemical,CHEMBL748,ACHE,Acetylcholinesterase,Acetylcholinesterase activator,ACTIVATOR,CHEMBL220,1,direct
