Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,mixture,19371312D4,Infectious,SHORT,0,4,4,2008-01-10,7047354.03,7.05,689219,6922222,0.4478,POLYMYXIN
POLYMYXIN B SULFATE; TRIMETHOPRIM SULFATE,TRIMETHOPRIM SULFATE AND POLYMYXIN B SULFATE,mixture,19371312D4 | E377MF8EQ8,Infectious,SHORT,0,4,4,1997-02-14,,,,,,
POMALIDOMIDE,POMALIDOMIDE | POMALYST,chemical,D2UX06XLB5,Oncology,LONG-TERM,1,5,20,2013-02-08,151455714.90,151.46,7280,149083,,POMALYST | POMALYST ( | POMALYST 1 | POMALYST 2 | POMALYST 3
PONATINIB HYDROCHLORIDE,ICLUSIG,chemical,96R6PU3D8J,Oncology,LONG-TERM,1,0,0,2012-12-14,99556765.97,99.56,4732,149509,,ICLUSIG | ICLUSIG  P | ICLUSIG (P | ICLUSIG 15 | ICLUSIG 30
PONESIMOD,PONVORY,chemical,5G7AKV2MKP,Neurology,CHRONIC,1,0,0,2021-03-18,4930244.94,4.93,520,16380,,PONVORY | PONVORY 2- | PONVORY 20
PORFIMER SODIUM,PHOTOFRIN,polymer,Y3834SIK5F,Other/Unclassified,OTHER,1,0,0,1995-12-27,,,,,,
POSACONAZOLE,NOXAFIL | NOXAFIL POWDERMIX KIT | POSACONAZOLE,chemical,6TK1G07BHZ,Infectious,SHORT,2,19,19,2006-09-15,13933896.60,13.93,2697,378129,4.0994,NOXAFIL | NOXAFIL 10 | NOXAFIL 30 | NOXAFIL 40 | NOXAFIL DR
POTASSIUM ACETATE,POTASSIUM ACETATE,chemical,M911911U02,Other/Unclassified,OTHER,1,2,2,1984-07-20,149156852.00,149.16,3907503,318388826,0.2264,POTASSIUM
POTASSIUM CHLORIDE,KLOR-CON | KLOR-CON M10 | KLOR-CON M15 | KLOR-CON M20 | POKONZA | POTASSIUM CHLORIDE | POTASSIUM CHLORIDE 10MEQ | POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 20MEQ | POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 40MEQ | POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER | POTASSIUM CHLORIDE IN PLASTIC CONTAINER,chemical,660YQ98I10,Metabolic,CHRONIC,5,64,122,1985-01-25,15822999.33,15.82,406765,20384118,3.0812,KLOR-CON | KLOR-CON 1 | KLOR-CON 2 | KLOR-CON 8 | KLOR-CON E
POTASSIUM CHLORIDE; SODIUM CHLORIDE,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.45% | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.9% | POTASSIUM CHLORIDE 0.15% IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 0.3% AND SODIUM CHLORIDE 0.9% | POTASSIUM CHLORIDE 20MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 40MEQ IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,chemical,660YQ98I10 | 451W47IQ8X,Metabolic,CHRONIC,3,2,4,1988-10-17,,,,,,
POTASSIUM CITRATE,POTASSIUM CITRATE | UROCIT-K,chemical,EE90ONI6FF,Metabolic,CHRONIC,1,8,21,1985-08-30,5442.66,0.01,39,2118,,UROCIT-K | UROCIT-K ( | UROCIT-K 1 | UROCIT-K S | UROCIT-K T
POTASSIUM IODIDE,IOSAT | POTASSIUM IODIDE | THYROSAFE,chemical,1C4QK22F9J,Other/Unclassified,OTHER,1,2,3,1982-10-14,,,,,,
"POTASSIUM PHOSPHATE, DIBASIC; POTASSIUM PHOSPHATE, MONOBASIC",POTASSIUM PHOSPHATES | POTASSIUM PHOSPHATES IN 0.9% SODIUM CHLORIDE,chemical,CI71S98N1Z | 4J9FJ0HL51,Metabolic,CHRONIC,2,6,15,2019-11-26,,,,,,
POVIDONE-IODINE,BETADINE | POVIDONE IODINE,mixture,85H0HZU99M,Other/Unclassified,OTHER,2,0,0,1986-12-17,1676606.22,1.68,2627,66437,0.0314,BETADINE | BETADINE 1 | BETADINE 5 | BETADINE F | BETADINE S
PRALATREXATE,FOLOTYN | PRALATREXATE,chemical,A8Q8I19Q20,Other/Unclassified,OTHER,1,1,2,2009-09-24,638167.81,0.64,150,161,,FOLOTYN | FOLOTYN 20 | FOLOTYN 40
PRALIDOXIME CHLORIDE,PROTOPAM CHLORIDE,chemical,38X7XS076H,Other/Unclassified,OTHER,1,0,0,,,,,,,
PRALSETINIB,GAVRETO,chemical,1WPE73O1WV,Oncology,LONG-TERM,1,0,0,2020-09-04,1960260.46,1.96,121,10822,,GAVRETO | GAVRETO 10
PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,chemical,3D867NP06J,Neurology,CHRONIC,0,17,94,2010-07-06,,,,,1.9969,
PRASTERONE,INTRAROSA,chemical,459AG36T1B,Other/Unclassified,OTHER,1,0,0,2016-11-16,1000076.35,1.00,3776,112256,9.2658,INTRAROSA
PRASUGREL HYDROCHLORIDE,EFFIENT | PRASUGREL | PRASUGREL HYDROCHLORIDE,chemical,G89JQ59I13,Cardiovascular,CHRONIC,1,6,12,2009-07-10,5368236.48,5.37,159022,6755972,6.6759,EFFIENT | EFFIENT 10 | EFFIENT 5 | EFFIENT TA | PRASUGREL
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,chemical,3M8608UQ61,Metabolic,CHRONIC,0,13,47,2006-04-24,,,,,0.0816,
PRAZIQUANTEL,PRAZIQUANTEL,chemical,6490C9U457,Infectious,SHORT,0,1,1,2017-11-27,,,,,54.1400,
PRAZOSIN HYDROCHLORIDE,MINIPRESS | PRAZOSIN HYDROCHLORIDE,chemical,X0Z7454B90,Cardiovascular,CHRONIC,1,9,27,1988-09-12,68710331.81,68.71,3951436,180492942,0.1278,MINIPRESS | PRAZOSIN 1 | PRAZOSIN 2 | PRAZOSIN 5 | PRAZOSIN H
PREDNICARBATE,PREDNICARBATE,chemical,V901LV1K7D,Other/Unclassified,OTHER,0,1,1,2007-03-09,,,,,,
PREDNISOLONE,PREDNISOLONE | PRELONE,chemical,9PHQ9Y1OLM,Autoimmune,PERIODIC,0,9,9,1986-02-04,,,,,3.3378,
PREDNISOLONE ACETATE,OMNIPRED | PRED FORTE | PRED MILD | PREDNISOLONE ACETATE,chemical,8B2807733D,Autoimmune,PERIODIC,3,2,2,2024-08-02,3233824.36,3.23,16189,104348,30.6766,PRED FORTE | PRED MILD
PREDNISOLONE SODIUM PHOSPHATE,ORAPRED ODT | PEDIAPRED | PREDNISOLONE SODIUM PHOSPHATE,chemical,IV021NXA9J,Autoimmune,PERIODIC,2,8,11,1986-05-28,,,,,,PEDIAPRED
PREDNISOLONE SODIUM PHOSPHATE; SULFACETAMIDE SODIUM,SULFACETAMIDE SODIUM AND PREDNISOLONE SODIUM PHOSPHATE,chemical,IV021NXA9J | 4NRT660KJQ,Autoimmune,PERIODIC,0,1,1,1995-12-29,,,,,,
PREDNISONE,PREDNISONE | PREDNISONE INTENSOL,chemical,VB0R961HZT,Autoimmune,PERIODIC,0,25,56,1982-04-22,106892804.49,106.89,13054936,259069949,0.4855,PREDNISONE
PREGABALIN,LYRICA | LYRICA CR | PREGABALIN,chemical,55JG375S6M,Neurology,CHRONIC,3,31,200,2004-12-30,214042260.70,214.04,4062994,287369142,4.4042,LYRICA | LYRICA  PR | LYRICA (PR | LYRICA 100 | LYRICA 150
PRETOMANID,PRETOMANID,chemical,2XOI31YC4N,Other/Unclassified,OTHER,1,0,0,2019-08-14,52175.46,0.05,90,2368,,PRETOMANID
PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE,chemical,MJW015BAPH,Pain,SHORT,0,1,1,2010-09-29,,,,,,
PRIMAQUINE PHOSPHATE,PRIMAQUINE | PRIMAQUINE PHOSPHATE,chemical,H0982HF78B,Metabolic,CHRONIC,1,2,2,2014-02-25,20412.61,0.02,340,12782,1.6974,PRIMAQUINE
PRIMIDONE,MYSOLINE | PRIMIDONE,chemical,13AFD7670Q,Psychiatric,CHRONIC,1,7,14,2001-05-24,4848642.70,4.85,236525,19859548,16.0369,MYSOLINE | MYSOLINE 2 | MYSOLINE 5 | MYSOLINE P | PRIMIDONE
PROBENECID,PROBALAN | PROBENECID,chemical,PO572Z7917,Metabolic,CHRONIC,0,3,3,1983-03-29,1062832.92,1.06,19086,1219554,0.8674,PROBENECID
PROBENECID; SULOPENEM ETZADROXIL,ORLYNVAH,chemical,PO572Z7917 | 492M3I304T,Metabolic,CHRONIC,1,0,0,2024-10-25,,,,,,
PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,chemical,SI4064O0LX,Other/Unclassified,OTHER,0,5,8,1984-07-31,,,,,,
PROCARBAZINE HYDROCHLORIDE,MATULANE,chemical,XH0NPH5ZX8,Oncology,LONG-TERM,1,0,0,,2036776.33,2.04,579,16000,,MATULANE | MATULANE ( | MATULANE 5
PROCHLORPERAZINE,COMPRO | PROCHLORPERAZINE,chemical,YHP6YLT61T,GI,PERIODIC,0,2,2,1993-11-24,1252103.12,1.25,12754,191827,1.7445,COMPRO | COMPRO  PR | COMPRO (PR | COMPRO 25
PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,chemical,PG20W5VQZS,GI,PERIODIC,0,9,9,1989-08-29,,,,,,
PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE | PROCOMP,chemical,I1T8O1JTL6,GI,PERIODIC,0,10,20,1998-02-27,,,,,,
PROGESTERONE,CRINONE | ENDOMETRIN | PROGESTERONE | PROMETRIUM,chemical,4G7DS2Q64Y,Metabolic,CHRONIC,3,12,18,1997-07-31,2651947.71,2.65,4668,146075,12.9208,CRINONE | CRINONE 4% | CRINONE 8% | ENDOMETRIN | PROMETRIUM
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE | PROMETHAZINE PLAIN | PROMETHEGAN,chemical,R61ZEH7I1I,Respiratory,PERIODIC,0,20,36,1982-11-15,,,,,2.7047,
PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,chemical,33XCH0HOCD,Cardiovascular,CHRONIC,0,12,35,2000-10-24,,,,,0.4938,
PROPARACAINE HYDROCHLORIDE,ALCAINE | PROPARACAINE HYDROCHLORIDE,chemical,U96OL57GOY,Other/Unclassified,OTHER,0,6,6,1995-09-29,18998.67,0.02,916,1379,1.7461,ALCAINE | ALCAINE 0.
PROPOFOL,DIPRIVAN | PROPOFOL,chemical,YI7VU623SF,Other,SHORT,1,9,9,1996-06-11,429527883.77,429.53,1408189,43209639,0.1384,DIPRIVAN | DIPRIVAN ( | DIPRIVAN 1 | DIPRIVAN 2 | DIPRIVAN 5
PROPRANOLOL HYDROCHLORIDE,HEMANGEOL | INDERAL LA | INNOPRAN XL | PROPRANOLOL HYDROCHLORIDE,chemical,F8A3652H1V,Cardiovascular,CHRONIC,3,21,63,1983-04-19,12050217.73,12.05,15122,20301,10.7677,HEMANGEOL | INDERAL LA
PROPYLTHIOURACIL,PROPYLTHIOURACIL,chemical,721M9407IY,Metabolic,CHRONIC,1,3,3,2023-05-10,,,,,0.2854,
PROTAMINE SULFATE,PROTAMINE SULFATE,structurallyDiverse,0DE9724IHC,Cardiovascular,SHORT,0,1,2,1987-04-07,12337585.99,12.34,9374,46283,,PROTAMINE
PROTRIPTYLINE HYDROCHLORIDE,PROTRIPTYLINE HYDROCHLORIDE,chemical,44665V00O8,Psychiatric,CHRONIC,0,2,4,2010-05-03,,,,,3.0725,
PRUCALOPRIDE SUCCINATE,MOTEGRITY | PRUCALOPRIDE SUCCINATE,chemical,4V2G75E1CK,GI,CHRONIC,1,16,32,2018-12-14,40980681.79,40.98,74504,2531682,16.9636,MOTEGRITY
PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,chemical,6V9V2RYJ8N,Respiratory,SHORT,0,4,4,1999-02-26,,,,,0.1330,
PURIFIED WATER,PUR-WASH,concept,,Other/Unclassified,OTHER,1,0,0,2011-09-01,22121720.17,22.12,397,3421,,PURIFIED C | PURIFIED W
PYRAZINAMIDE,PYRAZINAMIDE,chemical,2KNI5N06TI,Infectious,SHORT,0,3,3,1992-06-30,,,,,2.4130,
PYRIDOSTIGMINE BROMIDE,MESTINON | PYRIDOSTIGMINE BROMIDE | REGONOL,chemical,KVI301NA53,Neurology,CHRONIC,5,11,13,2003-04-24,2092302.42,2.09,1192,327639,11.7265,MESTINON | MESTINON 1 | MESTINON 6 | MESTINON S | MESTINON T
PYRIDOXINE HYDROCHLORIDE,PYRIDOXINE HYDROCHLORIDE,chemical,68Y4CF58BV,Metabolic,CHRONIC,0,1,1,,410138.91,0.41,14066,30798,,PYRIDOXINE
PYRIMETHAMINE,DARAPRIM | PYRIMETHAMINE,chemical,Z3614QOX8W,Infectious,SHORT,1,3,3,2020-02-28,,,,,,DARAPRIM | DARAPRIM 2 | DARAPRIM T
QUAZEPAM,DORAL,chemical,JF8V0828ZI,Psychiatric,PERIODIC,1,0,0,1985-12-27,,,,,,QUAZEPAM | QUAZEPAM 1
QUETIAPINE FUMARATE,QUETIAPINE FUMARATE | SEROQUEL | SEROQUEL XR,chemical,2S3PL1B6UJ,Psychiatric,CHRONIC,2,26,130,1997-09-26,174522965.77,174.52,12559228,537445543,6.3995,QUETIAPINE | SEROQUEL | SEROQUEL ( | SEROQUEL 1 | SEROQUEL 2
QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,chemical,33067B3N2M,Cardiovascular,CHRONIC,0,4,16,2005-03-02,61615.34,0.06,5560,257212,0.0911,QUINAPRIL
QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,chemical,R6875N380F,Cardiovascular,CHRONIC,0,2,2,1987-02-11,609502.00,0.61,867,85098,5.4680,QUINIDINE
QUINIDINE SULFATE,QUINIDINE SULFATE,chemical,J13S2394HE,Cardiovascular,CHRONIC,0,1,2,1983-09-26,,,,,,
QUININE SULFATE,QUININE SULFATE,chemical,KF7Z0E0Q2B,Infectious,SHORT,0,4,4,2012-09-28,81418.32,0.08,1333,55384,0.7023,QUININE SU
QUIZARTINIB DIHYDROCHLORIDE,VANFLYTA,chemical,WK7Q6ZIZ10,Oncology,LONG-TERM,1,0,0,2023-07-20,,,,,,VANFLYTA | VANFLYTA ( | VANFLYTA 1 | VANFLYTA 2
RABEPRAZOLE SODIUM,ACIPHEX | RABEPRAZOLE SODIUM,chemical,3L36P16U4R,GI,CHRONIC,1,8,8,1999-08-19,768359.36,0.77,669,33739,12.4302,ACIPHEX | ACIPHEX 20 | ACIPHEX DR | ACIPHEX RA
RADIUM RA-223 DICHLORIDE,XOFIGO,chemical,RJ00KV3VTG,Other/Unclassified,OTHER,1,0,0,2013-05-15,653715.82,0.65,76,67,,"XOFIGO | XOFIGO 1,1"
RALOXIFENE HYDROCHLORIDE,EVISTA | RALOXIFENE HYDROCHLORIDE,chemical,4F86W47BR6,Metabolic,CHRONIC,1,8,8,1997-12-09,1427711.85,1.43,64260,2542049,3.2802,EVISTA | EVISTA 60 | EVISTA 60M | RALOXIFENE
RALTEGRAVIR POTASSIUM,ISENTRESS | ISENTRESS HD | RALTEGRAVIR POTASSIUM,chemical,43Y000U234,Infectious,CHRONIC,3,1,1,2007-10-12,102521045.79,102.52,55450,3354363,32.3125,ISENTRESS
RAMELTEON,RAMELTEON | ROZEREM,chemical,901AS54I69,Other/Unclassified,OTHER,1,10,10,2005-07-22,22771647.71,22.77,167677,4863191,6.5110,RAMELTEON | ROZEREM | ROZEREM  R | ROZEREM (R | ROZEREM 8
RAMIPRIL,RAMIPRIL,chemical,L35JN3I7SJ,Cardiovascular,CHRONIC,0,8,31,2005-10-24,2415094.17,2.42,228249,12386926,0.0603,RAMIPRIL | RAMIPRIL 1 | RAMIPRIL 2 | RAMIPRIL 5 | RAMIPRIL C
RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,chemical,BK76465IHM,GI,CHRONIC,0,7,12,1997-08-29,16998.36,0.02,1450,138943,,RANITIDINE
RANOLAZINE,RANOLAZINE,chemical,A6IEZ5M406,Cardiovascular,CHRONIC,0,20,40,2013-07-29,11573612.17,11.57,283472,22168188,0.2447,RANOLAZINE
RASAGILINE MESYLATE,AZILECT | RASAGILINE MESYLATE,chemical,LH8C2JI290,Neurology,CHRONIC,1,10,20,2006-05-16,708405.98,0.71,5583,236097,18.9429,AZILECT | AZILECT (R | AZILECT 1 | RASAGILINE
REGADENOSON,LEXISCAN | REGADENOSON,chemical,2XLN4Y044H,Other,SHORT,1,12,12,2008-04-10,65510796.76,65.51,282693,1336003,,LEXISCAN | LEXISCAN . | LEXISCAN I
REGORAFENIB,STIVARGA,chemical,MGN125FS9D,Oncology,LONG-TERM,1,0,0,2012-09-27,58113349.66,58.11,3355,231444,,STIVARGA | STIVARGA 4
RELACORILANT,LIFYORLI (COPACKAGED),chemical,2158753C7E,Other/Unclassified,OTHER,1,0,0,2026-03-25,,,,,,
RELUGOLIX,ORGOVYX,chemical,P76B05O5V6,Oncology,LONG-TERM,1,0,0,2020-12-18,16420355.00,16.42,6246,190901,,ORGOVYX | ORGOVYX 12
REMDESIVIR,VEKLURY,chemical,3QKI37EEHE,Other/Unclassified,OTHER,1,0,0,2020-10-22,7179494.87,7.18,11016,20315,,REMDESIVIR | VEKLURY | VEKLURY  R | VEKLURY (R | VEKLURY 10
REMIBRUTINIB,RHAPSIDO,chemical,I7MVZ8HDNU,Oncology,LONG-TERM,1,0,0,2025-09-30,,,,,,
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE | ULTIVA,chemical,5V444H5WIC,Other/Unclassified,OTHER,1,3,9,1996-07-12,537015.86,0.54,1175,2152,,ULTIVA | ULTIVA 1 M | ULTIVA 1MG | ULTIVA 2 M | ULTIVA 2MG
REMIMAZOLAM BESYLATE,BYFAVO,chemical,280XQ6482H,Other/Unclassified,OTHER,1,0,0,2020-10-06,13964.52,0.01,155,106,,BYFAVO | BYFAVO 20
REPAGLINIDE,REPAGLINIDE,chemical,668Z8C33LU,Metabolic,CHRONIC,0,3,9,2013-11-22,,,,,0.1046,
REPOTRECTINIB,AUGTYRO,chemical,08O3FQ4UNP,Oncology,LONG-TERM,1,0,0,2023-11-15,,,,,,AUGTYRO
RESMETIROM,REZDIFFRA,chemical,RE0V0T1ES0,Other/Unclassified,OTHER,1,0,0,2024-03-14,,,,,,
REVEFENACIN,YUPELRI,chemical,G2AE2VE07O,Other/Unclassified,OTHER,1,0,0,2018-11-09,35244107.13,35.24,38182,3134545,15.9139,YUPELRI | YUPELRI 17
REVUMENIB CITRATE,REVUFORJ,chemical,YL4RYN734D,Other/Unclassified,OTHER,1,0,0,2024-11-15,,,,,,
REZAFUNGIN ACETATE,REZZAYO,chemical,W1U1TMN677,Other/Unclassified,OTHER,1,0,0,2023-03-22,,,,,,REZZAYO | REZZAYO (R
RIBAVIRIN,RIBAVIRIN,chemical,49717AWG6K,Other/Unclassified,OTHER,0,5,5,2005-10-28,181796.51,0.18,1693,198200,,RIBAVIRIN
RIBOCICLIB SUCCINATE,KISQALI,chemical,BG7HLX2919,Oncology,LONG-TERM,1,0,0,2017-03-13,265791620.28,265.79,17641,968560,270.9964,KISQALI | KISQALI 20 | KISQALI 40 | KISQALI 60 | KISQALI FC
RIBOFLAVIN 5'-PHOSPHATE SODIUM,EPIOXA HD/EPIOXA KIT | PHOTREXA VISCOUS IN DEXTRAN 20%/PHOTREXA,chemical,20RD1DZH99,Metabolic,CHRONIC,2,0,0,2016-04-15,,,,,,
RIFABUTIN,MYCOBUTIN | RIFABUTIN,chemical,1W306TDA6S,Infectious,SHORT,1,2,2,1992-12-23,4660225.06,4.66,12098,464873,9.3276,MYCOBUTIN | RIFABUTIN
RIFAMPIN,RIFADIN | RIFAMPIN | RIMACTANE,chemical,VJT6J7R4TR,Infectious,SHORT,2,8,11,1989-05-25,7164188.75,7.16,149833,8684327,0.5965,RIFADIN | RIFADIN IV | RIFAMPIN | RIFAMPIN 1 | RIFAMPIN 3
RIFAPENTINE,PRIFTIN,chemical,XJM390A33U,Other/Unclassified,OTHER,1,0,0,1998-06-22,1149710.12,1.15,8118,243377,4.6575,PRIFTIN | PRIFTIN  R | PRIFTIN (R | PRIFTIN 15
RIFAXIMIN,RIFAXIMIN | XIFAXAN,chemical,L36O5T016N,Other/Unclassified,OTHER,1,1,1,2004-05-25,821278166.66,821.28,307954,16395700,31.1635,XIFAXAN | XIFAXAN 20 | XIFAXAN 55
RILPIVIRINE HYDROCHLORIDE,EDURANT | EDURANT PED | RILPIVIRINE HYDROCHLORIDE,chemical,212WAX8KDD,Infectious,CHRONIC,2,1,1,2011-05-20,18869520.13,18.87,13698,432853,47.8843,EDURANT | EDURANT 25
RILUZOLE,RILUZOLE | TIGLUTIK KIT,chemical,7LJ087RS6F,Neurology,LONG-TERM,1,5,5,2003-01-29,967265.74,0.97,18366,1199269,0.3285,RILUZOLE | RILUZOLE 5 | RILUZOLE F | RILUZOLE T
RILZABRUTINIB,WAYRILZ,mixture,NWN58M4F5T,Oncology,LONG-TERM,1,0,0,2025-08-29,,,,,,
RIMANTADINE HYDROCHLORIDE,RIMANTADINE HYDROCHLORIDE,chemical,JEI07OOS8Y,Infectious,SHORT,0,1,1,2002-08-30,,,,,,
RIMEGEPANT SULFATE,NURTEC ODT,chemical,1383NM3Q0H,Other/Unclassified,OTHER,1,0,0,2020-02-27,882653373.76,882.65,759876,7752228,119.7516,NURTEC ODT
RIOCIGUAT,ADEMPAS | RIOCIGUAT,chemical,RU3FE2Y4XI,Cardiovascular,CHRONIC,1,1,5,2013-10-08,175348111.67,175.35,14025,1222734,,ADEMPAS | ADEMPAS 0. | ADEMPAS 1 | ADEMPAS 1. | ADEMPAS 1M
RIPRETINIB,QINLOCK,chemical,9XW757O13D,Oncology,LONG-TERM,1,0,0,2020-05-15,13569805.73,13.57,336,32129,,QINLOCK | QINLOCK  R | QINLOCK (R | QINLOCK 50
RISDIPLAM,EVRYSDI,chemical,76RS4S2ET1,Other/Unclassified,OTHER,2,0,0,2020-08-07,564730365.47,564.73,24528,3691892,,EVRYSDI | EVRYSDI  R | EVRYSDI (R | EVRYSDI 60
RISEDRONATE SODIUM,ACTONEL | ATELVIA | RISEDRONATE SODIUM,chemical,OFG5EXG60L,Metabolic,CHRONIC,2,9,22,2002-05-25,4575.02,0.00,13,13,20.7163,ACTONEL | ACTONEL 15 | ACTONEL 35 | ATELVIA | ATELVIA DE
RISPERIDONE,PERSERIS KIT | RISPERDAL | RISPERDAL CONSTA | RISPERIDONE | RYKINDO | UZEDY,chemical,L6UH7ZF8HC,Psychiatric,CHRONIC,6,29,123,1993-12-29,189148607.64,189.15,154801,850396,1087.5023,RISPERDAL | UZEDY | UZEDY ER 1 | UZEDY ER 2 | UZEDY ER 5
RITLECITINIB TOSYLATE,LITFULO,chemical,EAG4T1459K,Oncology,LONG-TERM,1,0,0,2023-06-23,1616520.88,1.62,417,12036,,LITFULO | LITFULO 50
RITONAVIR,NORVIR | RITONAVIR,chemical,O3J8G9O825,Infectious,CHRONIC,2,5,5,2010-02-10,4510639.41,4.51,44297,1767053,4.6423,NORVIR | NORVIR  RI | NORVIR (RI | NORVIR 100 | NORVIR ORA
RIVAROXABAN,RIVAROXABAN | XARELTO,chemical,9NDF7JZ4M3,Cardiovascular,CHRONIC,2,19,55,2011-07-01,1023610617.41,1023.61,1603001,63752870,16.3819,XARELTO | XARELTO  R | XARELTO (R | XARELTO 1 | XARELTO 10
RIVASTIGMINE,EXELON | RIVASTIGMINE,chemical,PKI06M3IW0,Neurology,CHRONIC,1,5,15,2007-07-06,2962591.25,2.96,4564,135615,7.1619,EXELON | EXELON 13. | EXELON 4.6 | EXELON 9.5 | EXELON PAT
RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,chemical,9IY2357JPE,Neurology,CHRONIC,0,8,32,2007-10-31,,,,,,
RIZATRIPTAN BENZOATE,MAXALT | MAXALT-MLT | RIZAFILM | RIZATRIPTAN BENZOATE,chemical,WR978S7QHH,Neurology,PERIODIC,3,9,18,1998-06-29,240981.85,0.24,485,6019,13.7455,MAXALT | MAXALT 10 | MAXALT 10M | MAXALT 5MG | MAXALT MLT
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,chemical,I65MW4OFHZ,Other,SHORT,2,17,33,2008-11-26,67397656.69,67.40,88996,401561,0.5256,ROCURONIUM
ROFLUMILAST,DALIRESP | ROFLUMILAST | ZORYVE,chemical,0P6C6ZOP5U,Respiratory,CHRONIC,3,9,17,2011-02-28,17063974.26,17.06,29153,1285600,10.5100,DALIRESP | DALIRESP 2 | DALIRESP 5 | DALIRESP T | ZORYVE
ROLAPITANT HYDROCHLORIDE,VARUBI,chemical,57O5S1QSAQ,Other/Unclassified,OTHER,1,0,0,2015-09-01,,,,,,
ROMIDEPSIN,ISTODAX | ROMIDEPSIN,chemical,CX3T89XQBK,Oncology,LONG-TERM,1,2,2,2009-11-05,3400411.34,3.40,789,1734,,ISTODAX | ISTODAX  R | ISTODAX (R | ISTODAX 10 | ROMIDEPSIN
ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,chemical,D7ZD41RZI9,Neurology,CHRONIC,0,15,91,2008-05-05,16132767.67,16.13,1447059,79560932,0.5525,ROPINIROLE
ROPIVACAINE HYDROCHLORIDE,NAROPIN | ROPIVACAINE HYDROCHLORIDE,chemical,V910P86109,Pain,SHORT,1,14,56,1996-09-24,30618189.04,30.62,70518,2051078,,NAROPIN | NAROPIN  R | NAROPIN (R | NAROPIN 0. | NAROPIN 1%
ROSUVASTATIN CALCIUM,CRESTOR | ROSUVASTATIN CALCIUM,chemical,83MVU38M7Q,Metabolic,CHRONIC,1,18,72,2003-08-12,1773118.12,1.77,3922,196336,4.4540,CRESTOR | CRESTOR  R | CRESTOR (R | CRESTOR 10 | CRESTOR 20
ROTIGOTINE,NEUPRO,chemical,87T4T8BO2E,Neurology,CHRONIC,1,0,0,2007-05-09,7501941.01,7.50,8744,289554,26.9335,NEUPRO | NEUPRO 1 M | NEUPRO 2 M | NEUPRO 3 M | NEUPRO 4 M
RUBIDIUM CHLORIDE RB-82,CARDIOGEN-82 | RUBY-FILL,chemical,F0Z746KRKQ,Other/Unclassified,OTHER,2,0,0,1989-12-29,,,,,,
RUCAPARIB CAMSYLATE,RUBRACA,chemical,41AX9SJ8KO,Other/Unclassified,OTHER,1,0,0,2016-12-19,3925157.57,3.93,285,27240,,RUBRACA | RUBRACA 20 | RUBRACA 25 | RUBRACA 30
RUFINAMIDE,BANZEL | RUFINAMIDE,chemical,WFW942PR79,Neurology,CHRONIC,2,15,23,2008-11-14,238109194.16,238.11,134185,65039285,7.5778,BANZEL | BANZEL 200 | BANZEL 40 | BANZEL 400 | BANZEL ORA
