Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Ethinyl Estradiol; Segesterone Acetate,ANNOVERA,Metabolic disorder,Metabolic,ESR1 | PGR,0.02,0.013MG/24HR; 0.15MG/24HR,As directed,Indefinite (lifelong maintenance),ETHINYL ESTRADIOL; SEGESTERONE ACETATE,19.29
Ethosuximide,ETHOSUXIMIDE,Hypertension; Angina,Neurology,CACNA1H,0.00,250MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),ETHOSUXIMIDE,0.37
Everolimus,AFINITOR,Transplant rejection; Oncology,Autoimmune,FKBP1A,0.25,1MG oral,Once or twice daily,Long-term (until progression / disease control),EVEROLIMUS,245.41
Exemestane,AROMASIN,"Breast cancer (HR+, post-menopausal)",Oncology,CYP19A1,0.01,25MG oral,Once or twice daily,Long-term (until progression / disease control),EXEMESTANE,5.54
Ezetimibe,EZETIMIBE,Hypercholesterolemia,Metabolic,NPC1L1,0.03,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),EZETIMIBE,32.63
Ezetimibe; Simvastatin,EZETIMIBE AND SIMVASTATIN,Dyslipidemia; CV risk reduction,Metabolic,NPC1L1 | HMGCR,,10MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance),EZETIMIBE; SIMVASTATIN,0.0
Famotidine,FAMOTIDINE,GERD; Peptic ulcer disease,GI,HRH2,0.31,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),FAMOTIDINE,313.86
Famotidine; Ibuprofen,IBUPROFEN AND FAMOTIDINE,GERD; Peptic ulcer disease,GI,HRH2 | PTGS2,,26.6MG; 800MG oral,Once or twice daily,Indefinite (lifelong maintenance),FAMOTIDINE; IBUPROFEN,0.0
Febuxostat,FEBUXOSTAT,Gout; Hyperuricemia,Metabolic,XDH,0.00,80MG oral,Once or twice daily,Indefinite (lifelong maintenance),FEBUXOSTAT,4.73
Fedratinib Hydrochloride,INREBIC,Cancer,Oncology,JAK2 | FLT3,0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),FEDRATINIB HYDROCHLORIDE,1.79
Felbamate,FELBAMATE,Neurological disorder,Neurology,GRIN1,0.03,600MG oral,Once or twice daily,Indefinite (lifelong maintenance),FELBAMATE,29.04
Felodipine,FELODIPINE,Hypertension; Angina,Cardiovascular,NR3C2 | CACNA1C,0.00,2.5MG oral,Once daily,Indefinite (lifelong maintenance),FELODIPINE,0.67
Fenofibrate,ANTARA (MICRONIZED),Hypertriglyceridemia; Mixed dyslipidemia,Metabolic,PPARA,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),FENOFIBRATE,0.04
Fentanyl,FENTANYL-100,Chronic pain; Cancer pain,Pain,OPRM1,0.46,100MCG/HR transdermal,Once daily,Indefinite (lifelong maintenance),FENTANYL,464.81
Fentanyl Citrate,FENTANYL CITRATE,Chronic pain; Cancer pain,Pain,OPRM1,,0.05MG BASE/mL,As directed,Indefinite (lifelong maintenance),FENTANYL CITRATE,0.0
Ferric Carboxymaltose,INJECTAFER,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,Supplement,0.09,500MG IRON/10ML (50MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance),FERRIC CARBOXYMALTOSE,91.05
Ferric Citrate,AURYXIA,Metabolic disorder,Metabolic,Phosphate sequestering agent,0.04,210MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance),FERRIC CITRATE,37.19
Ferric Derisomaltose,MONOFERRIC,Metabolic disorder,Metabolic,Supplement,0.02,1GM/10ML (100MG/mL) IV,As directed,Indefinite (lifelong maintenance),FERRIC DERISOMALTOSE,23.27
Ferric Hexacyanoferrate(ii),RADIOGARDASE (PRUSSIAN BLUE),Metabolic disorder,Metabolic,Radioactive metals chelating agent,,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),FERRIC HEXACYANOFERRATE(II),0.0
Ferric Maltol,ACCRUFER,Metabolic disorder,Metabolic,Supplement,0.01,30MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance),FERRIC MALTOL,7.55
Ferric Oxyhydroxide,VELPHORO,Metabolic disorder,Metabolic,Phosphate sequestering agent,0.09,500MG IRON oral,Once or twice daily,Indefinite (lifelong maintenance),FERRIC OXYHYDROXIDE,93.0
Fesoterodine Fumarate,FESOTERODINE FUMARATE,Neurological disorder,Neurology,CHRM3 | CHRM2,0.03,8MG oral,Once daily,Indefinite (lifelong maintenance),FESOTERODINE FUMARATE,29.64
Finasteride,FINASTERIDE,Metabolic disorder,Metabolic,SRD5A2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),FINASTERIDE,0.0
Finasteride; Tadalafil,FINASTERIDE AND TADALAFIL,Metabolic disorder,Metabolic,SRD5A2 | PDE5A,,5MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),FINASTERIDE; TADALAFIL,0.0
Finerenone,KERENDIA,Heart failure; Hypertension; Hyperaldosteronism,Cardiovascular,NR3C2,0.07,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),FINERENONE,69.32
Fingolimod Hydrochloride,FINGOLIMOD HYDROCHLORIDE,Multiple sclerosis,Neurology,S1PR5,0.19,0.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),FINGOLIMOD HYDROCHLORIDE,185.21
Fingolimod Lauryl Sulfate,TASCENSO ODT,Multiple sclerosis,Neurology,S1PR5,,0.5MG BASE oral,Once daily,Indefinite (lifelong maintenance),FINGOLIMOD LAURYL SULFATE,0.0
Flecainide Acetate,FLECAINIDE ACETATE,Cardiovascular disease,Cardiovascular,SCN5A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),FLECAINIDE ACETATE,4.97
Fludarabine Phosphate,FLUDARABINE PHOSPHATE,Metabolic disorder,Metabolic,RRM1 | POLA1,,50MG/VIAL,As directed,Indefinite (lifelong maintenance),FLUDARABINE PHOSPHATE,0.0
Fluocinolone Acetonide,DERMOTIC,Skin disorder,Dermatology,NR3C1,0.01,0.01% topical,As directed,Indefinite (lifelong maintenance),FLUOCINOLONE ACETONIDE,6.8
Fluocinolone Acetonide; Hydroquinone; Tretinoin,TRI-LUMA,Acne; Psoriasis; Photoageing,Dermatology,NR3C1 | RARG,,0.01%; 4% … topical,Once or twice daily,Indefinite (lifelong maintenance),FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN,0.0
Fluocinolone Acetonide; Neomycin Sulfate,NEO-SYNALAR,Skin disorder,Dermatology,NR3C1 | rpsB,,0.025%; 3.5MG BASE/GM topical,Once or twice daily,Indefinite (lifelong maintenance),FLUOCINOLONE ACETONIDE; NEOMYCIN SULFATE,0.0
Fluocinonide,FLUOCINONIDE,Skin disorder,Dermatology,NR3C1,,0.1% topical,Once or twice daily,Indefinite (lifelong maintenance),FLUOCINONIDE,0.0
Fluoroestradiol F-18,CERIANNA,Metabolic disorder,Metabolic,Diagnostic agent,,50ML (4-100mCi/mL) IV,As directed,Indefinite (lifelong maintenance),FLUOROESTRADIOL F-18,0.0
Fluorouracil,CARAC,Cancer,Oncology,TYMS,0.00,2% topical,As directed,Long-term (until progression / disease control),FLUOROURACIL,0.18
Fluoxetine Hydrochloride,FLUOXETINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4,0.15,90MG BASE oral,Once daily,Indefinite (lifelong maintenance),FLUOXETINE HYDROCHLORIDE,154.27
Fluoxetine Hydrochloride; Olanzapine,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,SLC6A4 | HTR2A | HTR2C | DRD2,,25MG BASE; 3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),FLUOXETINE HYDROCHLORIDE; OLANZAPINE,0.0
Fluphenazine Decanoate,FLUPHENAZINE DECANOATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2,,25MG/mL,As directed,Indefinite (lifelong maintenance),FLUPHENAZINE DECANOATE,0.0
Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2,,5MG/mL oral,As directed,Indefinite (lifelong maintenance),FLUPHENAZINE HYDROCHLORIDE,0.0
Flurandrenolide,CORDRAN,Skin disorder,Dermatology,NR3C1,,0.004MG/SQ CM topical,As directed,Indefinite (lifelong maintenance),FLURANDRENOLIDE,0.0
Flutamide,FLUTAMIDE,Prostate cancer (mCRPC),Oncology,AR,,125MG oral,Once or twice daily,Long-term (until progression / disease control),FLUTAMIDE,0.0
Fluticasone Furoate,ARNUITY ELLIPTA,Respiratory disease,Respiratory,NR3C1,,0.0275MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance),FLUTICASONE FUROATE,0.0
Fluticasone Furoate; Umeclidinium Bromide; Vilanterol Trifenatate,TRELEGY ELLIPTA,Asthma; COPD,Respiratory,NR3C1 | CHRM3 | ADRB2,,0.2MG//inh; 0.0625MG BASE//inh … inh,Once daily,Indefinite (lifelong maintenance),FLUTICASONE FUROATE; UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,0.0
Fluticasone Furoate; Vilanterol Trifenatate,BREO ELLIPTA,Asthma; COPD,Respiratory,NR3C1 | ADRB2,,0.2MG//inh; 0.025MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),FLUTICASONE FUROATE; VILANTEROL TRIFENATATE,0.0
Fluticasone Propionate,FLONASE ALLERGY RELIEF,Respiratory disease,Respiratory,NR3C1,0.02,0.093MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance),FLUTICASONE PROPIONATE,23.99
Fluticasone Propionate; Salmeterol Xinafoate,ADVAIR HFA,Asthma; COPD,Respiratory,NR3C1 | ADRB2,0.39,0.232MG//inh; 0.014MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance),FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,388.7
Fluvastatin Sodium,FLUVASTATIN SODIUM,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,,80MG BASE oral,Once daily,Indefinite (lifelong maintenance),FLUVASTATIN SODIUM,0.0
Fluvoxamine Maleate,FLUVOXAMINE MALEATE,Psychiatric disorder,Psychiatric,SLC6A4,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),FLUVOXAMINE MALEATE,0.0
Folic Acid,FOLIC ACID,Metabolic disorder,Metabolic,,0.07,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),FOLIC ACID,67.22
Formoterol Fumarate,FORMOTEROL FUMARATE,Asthma; COPD,Respiratory,ADRB2,0.01,0.02MG/2ML inh,As directed,Indefinite (lifelong maintenance),FORMOTEROL FUMARATE,12.21
Formoterol Fumarate; Glycopyrrolate,BEVESPI AEROSPHERE,Asthma; COPD,Respiratory,ADRB2 | CHRM3 | CHRM1,,0.0048MG//inh; 0.0090MG//inh inh,Twice daily,Indefinite (lifelong maintenance),FORMOTEROL FUMARATE; GLYCOPYRROLATE,0.0
Formoterol Fumarate; Mometasone Furoate,DULERA,Asthma; COPD,Respiratory,ADRB2 | NR3C1,0.34,0.005MG//inh; 0.2MG//inh inh,Twice daily,Indefinite (lifelong maintenance),FORMOTEROL FUMARATE; MOMETASONE FUROATE,344.92
Fosamprenavir Calcium,FOSAMPRENAVIR CALCIUM,Infectious disease,Infectious,pol,,700MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),FOSAMPRENAVIR CALCIUM,0.0
Foscarbidopa; Foslevodopa,VYALEV,Hypertension; Heart failure; Diabetic nephropathy,Neurology,DDC | ADRB1,,120MG/10ML; 2400MG/10ML (12MG/mL … SC,Weekly or monthly,Indefinite (lifelong maintenance),FOSCARBIDOPA; FOSLEVODOPA,0.0
Fosinopril Sodium,FOSINOPRIL SODIUM,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),FOSINOPRIL SODIUM,0.33
Fosinopril Sodium; Hydrochlorothiazide,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE | SLC12A3,,10MG; 12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),FOSINOPRIL SODIUM; HYDROCHLOROTHIAZIDE,0.0
Fosphenytoin Sodium,CEREBYX,Neurological disorder,Neurology,SCN1A,0.00,50MG PHENYTOIN NA/mL,As directed,Indefinite (lifelong maintenance),FOSPHENYTOIN SODIUM,0.19
Fostamatinib Disodium,TAVALISSE,Cancer,Oncology,SYK,0.02,150MG BASE oral,Once or twice daily,Long-term (until progression / disease control),FOSTAMATINIB DISODIUM,21.43
Fruquintinib,FRUZAQLA,Cancer,Oncology,FLT1,0.00,5MG oral,Once or twice daily,Long-term (until progression / disease control),FRUQUINTINIB,0.37
Fulvestrant,FASLODEX,"Breast cancer (ER+, metastatic)",Oncology,ESR1,0.00,250MG/5ML (50MG/mL),As directed,Long-term (until progression / disease control),FULVESTRANT,3.17
Furosemide,FUROSCIX,Cardiovascular disease,Cardiovascular,SLC12A1,0.08,80MG/2.67ML (30MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),FUROSEMIDE,77.76
Futibatinib,LYTGOBI,Cancer,Oncology,FGFR3,0.00,4MG oral,Once or twice daily,Long-term (until progression / disease control),FUTIBATINIB,0.45
Gabapentin,GABAPENTIN,Neurological disorder,Neurology,CACNA1H,0.40,800MG oral,Once or twice daily,Indefinite (lifelong maintenance),GABAPENTIN,395.36
Gabapentin Enacarbil,HORIZANT,Hypertension; Heart failure; Diabetic nephropathy,Neurology,CACNA1H,0.02,600MG oral,Once daily,Indefinite (lifelong maintenance),GABAPENTIN ENACARBIL,15.8
Galantamine Hydrobromide,GALANTAMINE HYDROBROMIDE,Alzheimer's disease; Myasthenia gravis,Neurology,ACHE,,8MG BASE oral,Once daily,Indefinite (lifelong maintenance),GALANTAMINE HYDROBROMIDE,0.0
Gefitinib,GEFITINIB,Non-small cell lung cancer (EGFR+),Oncology,EGFR,0.00,250MG oral,Once or twice daily,Long-term (until progression / disease control),GEFITINIB,0.11
Gemcitabine Hydrochloride,AVGEMSI,Infectious disease,Infectious,RRM1 | POLA1,,225MG BASE,As directed,Indefinite (lifelong maintenance),GEMCITABINE HYDROCHLORIDE,0.0
Gilteritinib Fumarate,XOSPATA,Cancer,Oncology,FLT3 | AXL,0.03,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control),GILTERITINIB FUMARATE,34.32
Glasdegib Maleate,DAURISMO,Cancer,Oncology,SMO,,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),GLASDEGIB MALEATE,0.0
Glatiramer Acetate,COPAXONE,Multiple sclerosis,Neurology,Unknown,0.18,40MG/mL SC,Weekly or monthly,Indefinite (lifelong maintenance),GLATIRAMER ACETATE,177.89
Glimepiride,GLIMEPIRIDE,Type 2 diabetes,Metabolic,KCNJ11,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLIMEPIRIDE,0.0
Glimepiride; Pioglitazone Hydrochloride,DUETACT,Type 2 diabetes,Metabolic,KCNJ11 | PPARG,,4MG; 30MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE,0.0
Glipizide,GLIPIZIDE,Type 2 diabetes,Metabolic,KCNJ11,0.05,10MG oral,Once daily,Indefinite (lifelong maintenance),GLIPIZIDE,47.18
Glipizide; Metformin Hydrochloride,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,Type 2 diabetes,Metabolic,KCNJ11 | MT-ND6 | GPD2,,2.5MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLIPIZIDE; METFORMIN HYDROCHLORIDE,0.0
Glyburide,DIABETA,Type 2 diabetes,Metabolic,KCNJ11,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLYBURIDE,4.1
Glyburide; Metformin Hydrochloride,GLYBURIDE AND METFORMIN HYDROCHLORIDE,Type 2 diabetes,Metabolic,KCNJ11 | MT-ND6 | GPD2,,1.25MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLYBURIDE; METFORMIN HYDROCHLORIDE,0.0
Glycopyrrolate,CUVPOSA,Respiratory disease,Respiratory,CHRM3 | CHRM1,0.01,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),GLYCOPYRROLATE,6.76
Glycopyrrolate; Neostigmine Methylsulfate,PREVDUO,Alzheimer's disease; Myasthenia gravis,Respiratory,CHRM3 | CHRM1 | ACHE,,0.6MG/3ML (0.2MG/mL); 3MG/3ML (1MG/mL) IV,As directed,Indefinite (lifelong maintenance),GLYCOPYRROLATE; NEOSTIGMINE METHYLSULFATE,0.0
Glycopyrronium Tosylate,QBREXZA,Respiratory disease,Respiratory,CHRM3,0.01,2.4% BASE topical,As directed,Indefinite (lifelong maintenance),GLYCOPYRRONIUM TOSYLATE,10.7
Goserelin Acetate,ZOLADEX,Cancer,Oncology,GNRHR,,10.8MG BASE,As directed,Long-term (until progression / disease control),GOSERELIN ACETATE,0.0
Guanfacine Hydrochloride,GUANFACINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,ADRA2A,0.16,4MG BASE oral,Once daily,Indefinite (lifelong maintenance),GUANFACINE HYDROCHLORIDE,162.77
Halcinonide,HALCINONIDE,Skin disorder,Dermatology,NR3C1,,0.1% topical,As directed,Indefinite (lifelong maintenance),HALCINONIDE,0.0
Halobetasol Propionate,BRYHALI,Skin disorder,Dermatology,NR3C1,0.00,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance),HALOBETASOL PROPIONATE,0.14
Halobetasol Propionate; Tazarotene,DUOBRII,Acne; Psoriasis; Photoageing,Dermatology,NR3C1 | RARG,0.00,0.01%; 0.045% topical,Once or twice daily,Indefinite (lifelong maintenance),HALOBETASOL PROPIONATE; TAZAROTENE,1.11
Haloperidol,HALOPERIDOL,Migraine (acute),Psychiatric,HTR2A | DRD2,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),HALOPERIDOL,0.0
Haloperidol Decanoate,HALOPERIDOL DECANOATE,Migraine (acute),Psychiatric,HTR2A | DRD2,,50MG BASE/mL,As directed,Indefinite (lifelong maintenance),HALOPERIDOL DECANOATE,0.0
Haloperidol Lactate,HALOPERIDOL,Migraine (acute),Psychiatric,HTR2A | DRD2,,2MG BASE/mL oral,As directed,Indefinite (lifelong maintenance),HALOPERIDOL LACTATE,0.0
Homatropine Methylbromide; Hydrocodone Bitartrate,HYCODAN,Chronic pain; Cancer pain,Pain,OPRK1,,1.5MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0.0
Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,Unknown,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDRALAZINE HYDROCHLORIDE,0.0
Hydralazine Hydrochloride; Isosorbide Dinitrate,BIDIL,Cardiovascular disease,Cardiovascular,GUCY1B1,0.00,37.5MG; 20MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDRALAZINE HYDROCHLORIDE; ISOSORBIDE DINITRATE,1.44
Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,Cardiovascular disease,Cardiovascular,SLC12A3,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE,0.0
Hydrochlorothiazide; Irbesartan,AVALIDE,Cardiovascular disease,Cardiovascular,SLC12A3 | AGTR1,,12.5MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; IRBESARTAN,0.0
Hydrochlorothiazide; Lisinopril,ZESTORETIC,Hypertension; Heart failure; CKD,Cardiovascular,SLC12A3 | ACE,,25MG; 20MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; LISINOPRIL,0.0
Hydrochlorothiazide; Losartan Potassium,HYZAAR,Cardiovascular disease,Cardiovascular,SLC12A3 | AGTR1,0.00,25MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,0.0
Hydrochlorothiazide; Metoprolol Tartrate,LOPRESSOR HCT,Cardiovascular disease,Cardiovascular,SLC12A3 | ADRB1,,25MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,0.0
Hydrochlorothiazide; Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Hypertension; Heart failure; CKD,Cardiovascular,SLC12A3 | ACE,,12.5MG; 7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; MOEXIPRIL HYDROCHLORIDE,0.0
Hydrochlorothiazide; Olmesartan Medoxomil,BENICAR HCT,Cardiovascular disease,Cardiovascular,SLC12A3 | AGTR1,,25MG; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,0.0
Hydrochlorothiazide; Quinapril Hydrochloride,QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Hypertension; Heart failure; CKD,Cardiovascular,SLC12A3 | ACE,,12.5MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE,0.0
Hydrochlorothiazide; Spironolactone,ALDACTAZIDE,Heart failure; Hypertension; Hyperaldosteronism,Cardiovascular,SLC12A3 | NR3C2,,25MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,0.0
Hydrochlorothiazide; Telmisartan,MICARDIS HCT,Cardiovascular disease,Cardiovascular,SLC12A3 | AGTR1,,25MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; TELMISARTAN,0.0
Hydrochlorothiazide; Triamterene,MAXZIDE,Cardiovascular disease,Cardiovascular,SLC12A3 | SCNN1A,,25MG; 37.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; TRIAMTERENE,0.0
Hydrochlorothiazide; Valsartan,DIOVAN HCT,Cardiovascular disease,Cardiovascular,SLC12A3 | AGTR1,0.00,25MG; 320MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCHLOROTHIAZIDE; VALSARTAN,0.11
Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,Chronic pain; Cancer pain,Pain,OPRK1,,100MG oral,Once daily,Indefinite (lifelong maintenance),HYDROCODONE BITARTRATE,0.0
Hydrocodone Bitartrate; Ibuprofen,REPREXAIN,Chronic pain; Cancer pain,Pain,OPRK1 | PTGS2,,7.5MG; 200MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROCODONE BITARTRATE; IBUPROFEN,0.0
Hydromorphone Hydrochloride,DILAUDID,Chronic pain; Cancer pain,Pain,OPRM1,0.11,8MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROMORPHONE HYDROCHLORIDE,113.14
Hydroxocobalamin,CYANOKIT,Metabolic disorder,Metabolic,Cyanide sequestering agent,,5GM/VIAL (5GM/KIT),As directed,Indefinite (lifelong maintenance),HYDROXOCOBALAMIN,0.0
Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,SLE; RA; Malaria prevention,Autoimmune,TLR7 | TLR9,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),HYDROXYCHLOROQUINE SULFATE,0.0
Hydroxyurea,HYDREA,Sickle cell disease; Chronic myeloid leukaemia,Oncology,RRM1,0.01,100MG oral,Once or twice daily,Long-term (until progression / disease control),HYDROXYUREA,14.78
Ibandronate Sodium,IBANDRONATE SODIUM,Metabolic disorder,Metabolic,FDPS,,3MG BASE/3ML IV,As directed,Indefinite (lifelong maintenance),IBANDRONATE SODIUM,0.0
Ibrutinib,IMBRUVICA,B-cell malignancies (CLL/MCL),Oncology,BTK,0.22,420MG oral,Once or twice daily,Long-term (until progression / disease control),IBRUTINIB,217.0
Icosapent Ethyl,ICOSAPENT ETHYL,Metabolic disorder,Metabolic,Unknown,0.13,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),ICOSAPENT ETHYL,125.05
Idelalisib,IDELALISIB,Cancer,Oncology,PIK3CD,,150MG oral,Once or twice daily,Long-term (until progression / disease control),IDELALISIB,0.0
Iloperidone,FANAPT,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,0.11,12MG oral,Once or twice daily,Indefinite (lifelong maintenance),ILOPERIDONE,108.29
Iloprost,AURLUMYN,Cardiovascular disease,Cardiovascular,PTGIR,,100MCG/mL (100MCG/mL) IV,As directed,Indefinite (lifelong maintenance),ILOPROST,0.0
Imatinib Mesylate,GLEEVEC,Chronic myeloid leukaemia (CML),Oncology,ABL1 | PDGFRB | KIT | ABL1,0.04,400MG BASE oral,Once or twice daily,Long-term (until progression / disease control),IMATINIB MESYLATE,44.69
Imipramine Hydrochloride,IMIPRAMINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),IMIPRAMINE HYDROCHLORIDE,3.72
Imipramine Pamoate,IMIPRAMINE PAMOATE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,,75MG HYDROCHLORIDE oral,Once or twice daily,Indefinite (lifelong maintenance),IMIPRAMINE PAMOATE,0.0
Inavolisib,ITOVEBI,Cancer,Oncology,PIK3CA,,9MG oral,Once or twice daily,Long-term (until progression / disease control),INAVOLISIB,0.0
Indapamide,INDAPAMIDE,Cardiovascular disease,Cardiovascular,SLC12A3,0.00,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),INDAPAMIDE,0.99
Ipratropium Bromide,ATROVENT HFA,Respiratory disease,Respiratory,CHRM3,,0.021MG//inh inh,Twice daily,Indefinite (lifelong maintenance),IPRATROPIUM BROMIDE,0.0
Irbesartan,AVAPRO,Cardiovascular disease,Cardiovascular,AGTR1,0.01,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),IRBESARTAN,9.09
Irinotecan Hydrochloride,CAMPTOSAR,Cancer,Oncology,TOP1,0.02,300MG/15ML (20MG/mL),As directed,Long-term (until progression / disease control),IRINOTECAN HYDROCHLORIDE,22.11
Iron Dextran,INFED,Metabolic disorder,Metabolic,Supplement,0.01,100MG IRON/2ML (50MG IRON/mL),As directed,Indefinite (lifelong maintenance),IRON DEXTRAN,7.96
Iron Sucrose,IRON SUCROSE,Metabolic disorder,Metabolic,Supplement,0.32,200MG IRON/10ML (20MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance),IRON SUCROSE,317.71
Isoniazid,ISONIAZID,Tuberculosis prophylaxis/treatment,Infectious,inhA,0.00,50MG/5ML oral,Once or twice daily,Long-term (until progression / disease control),ISONIAZID,1.52
Isotretinoin,ABSORICA,Acne; Psoriasis; Photoageing,Dermatology,RARG,0.06,32MG oral,Once or twice daily,Indefinite (lifelong maintenance),ISOTRETINOIN,58.06
Isradipine,ISRADIPINE,Hypertension; Angina,Cardiovascular,CACNA1C,0.00,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),ISRADIPINE,0.28
Ivabradine Hydrochloride,IVABRADINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,HCN4,,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),IVABRADINE HYDROCHLORIDE,0.0
Ivosidenib,TIBSOVO,Cancer,Oncology,IDH1,0.04,250MG oral,Once or twice daily,Long-term (until progression / disease control),IVOSIDENIB,40.42
