Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Fluticasone Propionate,FLONASE ALLERGY RELIEF,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,0.02,0.093MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Fluticasone Propionate; Salmeterol Xinafoate,ADVAIR HFA,Asthma,Respiratory – Obstructive,chemical,NR3C1 | ADRB2,0.39,0.232MG//inh; 0.014MG BASE//inh inh,Once daily,Indefinite (lifelong maintenance)
Fluvastatin Sodium,FLUVASTATIN SODIUM,Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,chemical,HMGCR,,80MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Fluvoxamine Maleate,FLUVOXAMINE MALEATE,Obsessive-compulsive disorder,Psychiatry – Anxiety,chemical,SLC6A4,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Folic Acid,FOLIC ACID,Anemia,Hematology – Anemia,chemical,,0.07,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Formoterol Fumarate,FORMOTEROL FUMARATE,COPD; Bronchospasm,Respiratory – Obstructive,chemical,ADRB2,0.01,0.02MG/2ML inh,As directed,Indefinite (lifelong maintenance)
Formoterol Fumarate; Glycopyrrolate,BEVESPI AEROSPHERE,COPD,Respiratory – Obstructive,chemical,ADRB2 | CHRM3 | CHRM1,,0.0048MG//inh; 0.0090MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Formoterol Fumarate; Mometasone Furoate,DULERA,Asthma,Respiratory – Obstructive,chemical,ADRB2 | NR3C1,0.34,0.005MG//inh; 0.2MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Fosamprenavir Calcium,FOSAMPRENAVIR CALCIUM,HIV infection,Infectious – HIV,chemical,pol,,700MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Foscarbidopa; Foslevodopa,VYALEV,Parkinson's disease,Neurology – Movement Disorder,chemical,DDC | ADRB1,,120MG/10ML; 2400MG/10ML (12MG/mL … SC,Weekly or monthly,Indefinite (lifelong maintenance)
Fosinopril Sodium,FOSINOPRIL SODIUM,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,ACE,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fosinopril Sodium; Hydrochlorothiazide,FOSINOPRIL SODIUM AND HYDROCHLOROTHIAZIDE,Hypertension,Cardiovascular – Hypertension,chemical,ACE | SLC12A3,,10MG; 12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Fosphenytoin Sodium,CEREBYX,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.00,50MG PHENYTOIN NA/mL,As directed,Indefinite (lifelong maintenance)
Fostamatinib Disodium,TAVALISSE,Cancer,Oncology – Solid Tumor,chemical,SYK,0.02,150MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Fruquintinib,FRUZAQLA,Colorectal cancer,Oncology – Solid Tumor,chemical,FLT1,0.00,5MG oral,Once or twice daily,Long-term (until progression / disease control)
Fulvestrant,FASLODEX,Breast cancer; Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,ESR1,0.00,250MG/5ML (50MG/mL),As directed,Long-term (until progression / disease control)
Furosemide,FUROSCIX,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,SLC12A1,0.08,80MG/2.67ML (30MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Futibatinib,LYTGOBI,Cancer,Oncology – Solid Tumor,chemical,FGFR3,0.00,4MG oral,Once or twice daily,Long-term (until progression / disease control)
Gabapentin,GABAPENTIN,Epilepsy / seizures; Neuropathic pain / fibromyalgia,Neurology – Pain / Headache,chemical,CACNA1H,0.40,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Gabapentin Enacarbil,HORIZANT,Neuropathic pain / fibromyalgia; Restless legs syndrome,Neurology – Movement Disorder,chemical,CACNA1H,0.02,600MG oral,Once daily,Indefinite (lifelong maintenance)
Galantamine Hydrobromide,GALANTAMINE HYDROBROMIDE,Alzheimer's disease / dementia,Neurology – Neurodegeneration,chemical,ACHE,,8MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Gefitinib,GEFITINIB,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,0.00,250MG oral,Once or twice daily,Long-term (until progression / disease control)
Gemcitabine Hydrochloride,AVGEMSI,Breast cancer; Ovarian cancer,Infectious – Other,chemical,RRM1 | POLA1,,225MG BASE,As directed,Indefinite (lifelong maintenance)
Gilteritinib Fumarate,XOSPATA,Acute myeloid leukemia,Oncology – Hematologic,chemical,FLT3 | AXL,0.03,40MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Glasdegib Maleate,DAURISMO,Acute myeloid leukemia,Oncology – Hematologic,chemical,SMO,,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Glatiramer Acetate,COPAXONE,Multiple sclerosis,Neurology – Demyelinating,polymer,Unknown,0.18,40MG/mL SC,Weekly or monthly,Indefinite (lifelong maintenance)
Glimepiride,GLIMEPIRIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glimepiride; Pioglitazone Hydrochloride,DUETACT,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11 | PPARG,,4MG; 30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glipizide,GLIPIZIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11,0.05,10MG oral,Once daily,Indefinite (lifelong maintenance)
Glipizide; Metformin Hydrochloride,GLIPIZIDE AND METFORMIN HYDROCHLORIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11 | MT-ND6 | GPD2,,2.5MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glyburide,DIABETA,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glyburide; Metformin Hydrochloride,GLYBURIDE AND METFORMIN HYDROCHLORIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11 | MT-ND6 | GPD2,,1.25MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glycopyrrolate,CUVPOSA,Peptic ulcer disease,Respiratory – Other,chemical,CHRM3 | CHRM1,0.01,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Glycopyrrolate; Neostigmine Methylsulfate,PREVDUO,Alzheimer's disease; Myasthenia gravis,Respiratory – Other,chemical,CHRM3 | CHRM1 | ACHE,,0.6MG/3ML (0.2MG/mL); 3MG/3ML (1MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Glycopyrronium Tosylate,QBREXZA,Respiratory disease,Respiratory – Other,chemical,CHRM3,0.01,2.4% BASE topical,As directed,Indefinite (lifelong maintenance)
Goserelin Acetate,ZOLADEX,Breast cancer; Endometriosis; Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,GNRHR,,10.8MG BASE,As directed,Long-term (until progression / disease control)
Guanfacine Hydrochloride,GUANFACINE HYDROCHLORIDE,Hypertension,Psychiatry – Other,chemical,ADRA2A,0.16,4MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Halcinonide,HALCINONIDE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% topical,As directed,Indefinite (lifelong maintenance)
Halobetasol Propionate,BRYHALI,Skin disorder,Dermatology – General,chemical,NR3C1,0.00,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance)
Halobetasol Propionate; Tazarotene,DUOBRII,Psoriasis,Autoimmune – Dermatology,chemical,NR3C1 | RARG,0.00,0.01%; 0.045% topical,Once or twice daily,Indefinite (lifelong maintenance)
Haloperidol,HALOPERIDOL,Migraine (acute),Psychiatry – Other,chemical,HTR2A | DRD2,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Haloperidol Decanoate,HALOPERIDOL DECANOATE,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | DRD2,,50MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Haloperidol Lactate,HALOPERIDOL,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | DRD2,,2MG BASE/mL oral,As directed,Indefinite (lifelong maintenance)
Homatropine Methylbromide; Hydrocodone Bitartrate,HYCODAN,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRK1,,1.5MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,Unknown,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydralazine Hydrochloride; Isosorbide Dinitrate,BIDIL,Heart failure,Cardiovascular – Heart Failure,chemical,GUCY1B1,0.00,37.5MG; 20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Irbesartan,AVALIDE,Hypertension,Cardiovascular – Hypertension,chemical,SLC12A3 | AGTR1,,12.5MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Lisinopril,ZESTORETIC,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | ACE,,25MG; 20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Losartan Potassium,HYZAAR,Hypertension,Cardiovascular – Hypertension,chemical,SLC12A3 | AGTR1,0.00,25MG; 100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Metoprolol Tartrate,LOPRESSOR HCT,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | ADRB1,,25MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | ACE,,12.5MG; 7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Olmesartan Medoxomil,BENICAR HCT,Hypertension,Cardiovascular – Hypertension,chemical,SLC12A3 | AGTR1,,25MG; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Quinapril Hydrochloride,QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | ACE,,12.5MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Spironolactone,ALDACTAZIDE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | NR3C2,,25MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Telmisartan,MICARDIS HCT,Hypertension,Cardiovascular – Hypertension,chemical,SLC12A3 | AGTR1,,25MG; 80MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Triamterene,MAXZIDE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,SLC12A3 | SCNN1A,,25MG; 37.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrochlorothiazide; Valsartan,DIOVAN HCT,Hypertension,Cardiovascular – Hypertension,chemical,SLC12A3 | AGTR1,0.00,25MG; 320MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRK1,,100MG oral,Once daily,Indefinite (lifelong maintenance)
Hydrocodone Bitartrate; Ibuprofen,REPREXAIN,Chronic pain; Cancer pain,Pain – Chronic,chemical,OPRK1 | PTGS2,,7.5MG; 200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydromorphone Hydrochloride,DILAUDID,Chronic pain,Pain – Chronic,chemical,OPRM1,0.11,8MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydroxocobalamin,CYANOKIT,Metabolic disorder,Endocrinology – Metabolic,chemical,Cyanide sequestering agent,,5GM/VIAL (5GM/KIT),As directed,Indefinite (lifelong maintenance)
Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,Rheumatoid arthritis; Systemic lupus erythematosus,Autoimmune – Rheumatology,chemical,TLR7 | TLR9,,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Hydroxyurea,HYDREA,Chronic myeloid leukemia,Oncology – Hematologic,chemical,RRM1,0.01,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Ibandronate Sodium,IBANDRONATE SODIUM,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,FDPS,,3MG BASE/3ML IV,As directed,Indefinite (lifelong maintenance)
Ibrutinib,IMBRUVICA,Chronic lymphocytic leukemia; Lymphoma,Oncology – Hematologic,chemical,BTK,0.22,420MG oral,Once or twice daily,Long-term (until progression / disease control)
Icosapent Ethyl,ICOSAPENT ETHYL,Hypertriglyceridemia,Endocrinology – Lipid,chemical,Unknown,0.13,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Idelalisib,IDELALISIB,Chronic lymphocytic leukemia,Oncology – Hematologic,chemical,PIK3CD,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Iloperidone,FANAPT,Schizophrenia; Bipolar disorder,Psychiatry – Psychotic,chemical,DRD2 | HTR2A,0.11,12MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Iloprost,AURLUMYN,Cardiovascular disease,Cardiovascular – Other,chemical,PTGIR,,100MCG/mL (100MCG/mL) IV,As directed,Indefinite (lifelong maintenance)
Imatinib Mesylate,GLEEVEC,Chronic myeloid leukemia,Oncology – Hematologic,chemical,ABL1 | PDGFRB | KIT | ABL1,0.04,400MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Imipramine Hydrochloride,IMIPRAMINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,0.00,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Imipramine Pamoate,IMIPRAMINE PAMOATE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,,75MG HYDROCHLORIDE oral,Once or twice daily,Indefinite (lifelong maintenance)
Inavolisib,ITOVEBI,Breast cancer,Oncology – Solid Tumor,chemical,PIK3CA,,9MG oral,Once or twice daily,Long-term (until progression / disease control)
Indapamide,INDAPAMIDE,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,SLC12A3,0.00,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ipratropium Bromide,ATROVENT HFA,COPD; Bronchospasm,Respiratory – Obstructive,chemical,CHRM3,,0.021MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Irbesartan,AVAPRO,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.01,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Irinotecan Hydrochloride,CAMPTOSAR,Cancer,Oncology – Solid Tumor,chemical,TOP1,0.02,300MG/15ML (20MG/mL),As directed,Long-term (until progression / disease control)
Iron Dextran,INFED,Metabolic disorder,Endocrinology – Metabolic,polymer,Supplement,0.01,100MG IRON/2ML (50MG IRON/mL),As directed,Indefinite (lifelong maintenance)
Iron Sucrose,IRON SUCROSE,Anemia; Chronic kidney disease,Hematology – Anemia,polymer,Supplement,0.32,200MG IRON/10ML (20MG IRON/mL) IV,As directed,Indefinite (lifelong maintenance)
Isoniazid,ISONIAZID,Tuberculosis,Infectious – Other,chemical,inhA,0.00,50MG/5ML oral,Once or twice daily,Long-term (until progression / disease control)
Isotretinoin,ABSORICA,Acne,Dermatology – General,chemical,RARG,0.06,32MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Isradipine,ISRADIPINE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,0.00,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ivabradine Hydrochloride,IVABRADINE HYDROCHLORIDE,Heart failure,Cardiovascular – Heart Failure,chemical,HCN4,,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Ivosidenib,TIBSOVO,Acute myeloid leukemia,Oncology – Hematologic,chemical,IDH1,0.04,250MG oral,Once or twice daily,Long-term (until progression / disease control)
Ixazomib Citrate,NINLARO,Multiple myeloma,Oncology – Hematologic,chemical,PSMD1,0.02,4MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ADRA1A,0.04,300MG/300ML (1MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Lacosamide,LACOSAMIDE,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.26,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lamivudine,EPIVIR,HIV infection,Infectious – HIV,chemical,pol | P,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lamivudine; Tenofovir Disoproxil Fumarate,CIMDUO,HIV infection,Infectious – HIV,chemical,pol | P,0.00,300MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lamivudine; Zidovudine,LAMIVUDINE AND ZIDOVUDINE,HIV infection,Infectious – HIV,chemical,pol | P,,150MG; 300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lamotrigine,LAMICTAL,Epilepsy / seizures,Psychiatry – Other,chemical,SCN1A,0.22,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Landiolol Hydrochloride,RAPIBLYK,Atrial fibrillation; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,ADRB1,,280MG BASE/VIAL IV,Once daily,Indefinite (lifelong maintenance)
Lanreotide Acetate,LANREOTIDE ACETATE,Dyslipidemia; CV risk reduction,Gastroenterology – Other,protein,SSTR5 | SSTR2,0.01,120MG BASE/0.5ML (120MG BASE/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Lansoprazole,LANSOPRAZOLE,Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,ATP4A,0.02,30MG oral,Once daily,Indefinite (lifelong maintenance)
Lanthanum Carbonate,FOSRENOL,Hypertension; Heart failure; Diabetic nephropathy,Endocrinology – Diabetes,chemical,Phosphate sequestering agent,0.01,750MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Lapatinib Ditosylate,LAPATINIB DITOSYLATE,Breast cancer,Oncology – Solid Tumor,chemical,ERBB2 | EGFR,0.00,250MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Larotrectinib Sulfate,VITRAKVI,Cancer,Oncology – Solid Tumor,chemical,NTRK1,0.02,20MG BASE/mL oral,Once or twice daily,Long-term (until progression / disease control)
Latanoprost,IYUZEH,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.00,0.005% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Latanoprost; Netarsudil Dimesylate,ROCKLATAN,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR | ROCK2,0.02,0.005%; 0.02% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Latanoprostene Bunod,LATANOPROSTENE BUNOD,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.01,0.024% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Lazertinib Mesylate,LAZCLUZE,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR,,240MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Leflunomide,ARAVA,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,DHODH,0.00,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lenacapavir Sodium,SUNLENCA,HIV infection,Infectious – HIV,chemical,gag,0.01,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Lenalidomide,LENALIDOMIDE,Multiple myeloma; Myelodysplastic syndromes; Lymphoma; Anemia,Oncology – Hematologic,chemical,CRBN,0.51,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Leniolisib Phosphate,JOENJA,Cancer,Oncology – Solid Tumor,chemical,PIK3CD,0.01,70MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Lenvatinib Mesylate,LENVIMA,Renal cell carcinoma; Thyroid cancer,Oncology – Solid Tumor,chemical,FLT1,0.22,10MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Letermovir,PREVYMIS,Cytomegalovirus,Infectious – Other,chemical,TRM1,0.05,480MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Letrozole,FEMARA,Breast cancer; Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,CYP19A1,0.00,2.5MG oral,Once or twice daily,Long-term (until progression / disease control)
Letrozole; Ribociclib Succinate,KISQALI FEMARA CO-PACK (COPACKAGED),Breast cancer,Oncology – Solid Tumor,chemical,CYP19A1 | CDK4 | CDK6,,2.5MG; 200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Leuprolide Acetate,ELIGARD KIT,Prostate cancer,Oncology – Solid Tumor,chemical,GNRHR,0.00,45MG SC,Once daily,Long-term (until progression / disease control)
Leuprolide Mesylate,CAMCEVI ETM,Prostate cancer,Oncology – Solid Tumor,chemical,GNRHR,,42MG BASE SC,As directed,Long-term (until progression / disease control)
Levalbuterol Hydrochloride,LEVALBUTEROL HYDROCHLORIDE,Bronchospasm,Respiratory – Obstructive,chemical,ADRB2,,0.021% BASE inh,As directed,Indefinite (lifelong maintenance)
Levalbuterol Tartrate,XOPENEX HFA,Bronchospasm,Respiratory – Obstructive,chemical,ADRB2,,0.045MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Levetiracetam,KEPPRA,Epilepsy / seizures,Neurology – Epilepsy,chemical,SV2A | CACNA1B,0.13,750MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Levobunolol Hydrochloride,BETAGAN,Hypertension; Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2,,0.5% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Levodopa,INBRIJA,Parkinson's disease,Neurology – Movement Disorder,chemical,DRD3,0.00,42MG inh,Once daily,Indefinite (lifelong maintenance)
Levomilnacipran Hydrochloride,FETZIMA,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,0.03,120MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Levonorgestrel,ATHENTIA NEXT,Metabolic disorder,Endocrinology – Metabolic,chemical,PGR,0.41,1.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Levothyroxine Sodium,ERMEZA,Hypothyroidism; Hyperthyroidism,Endocrinology – Thyroid,chemical,THRA,0.12,"0.3MG **See current Annual Edition, 1.8 Description of Speci oral",Once or twice daily,Indefinite (lifelong maintenance)
Linaclotide,LINZESS,Irritable bowel syndrome; Chronic constipation,Gastroenterology – Motility,protein,GUCY2C,0.80,290MCG oral,Once or twice daily,Indefinite (lifelong maintenance)
Linagliptin,LINAGLIPTIN,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4,0.32,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Linagliptin; Metformin Hydrochloride,JENTADUETO,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4 | MT-ND6 | GPD2,0.09,2.5MG; 850MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Liothyronine Sodium,CYTOMEL,Thyroid cancer; Hypothyroidism,Endocrinology – Thyroid,chemical,THRA,0.00,0.05MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Liraglutide,LIRAGLUTIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,protein,GLP1R,1.42,18MG/3ML (6MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Lisdexamfetamine Dimesylate,ARYNTA,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2 | SLC18A2,2.76,60MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lisinopril,LISINOPRIL,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,ACE,0.20,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lithium Carbonate,LITHIUM CARBONATE,Bipolar disorder,Psychiatry – Mood,chemical,IMPA1 | GSK3A,0.03,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lithium Citrate,LITHIUM CITRATE,Bipolar disorder,Psychiatry – Mood,chemical,IMPA1 | GSK3A,,300MG CARBONATE/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Lomustine,GLEOSTINE,Lymphoma,Oncology – Hematologic,chemical,DNA inhibitor,,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Lopinavir; Ritonavir,KALETRA,HIV infection,Infectious – HIV,chemical,pol | CYP3A4,0.00,200MG; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lorlatinib,LORBRENA,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,ALK | ALK,0.03,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Losartan Potassium,ARBLI,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.16,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lovastatin,LOVASTATIN,Angina; Myocardial infarction (risk reduction); Coronary artery disease,Endocrinology – Lipid,chemical,HMGCR,0.01,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Loxapine,ADASUVE,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,0.00,10MG inh,Once daily,Indefinite (lifelong maintenance)
Loxapine Succinate,LOXAPINE SUCCINATE,Schizophrenia,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Lubiprostone,AMITIZA,Chronic constipation; Chronic pain,Gastroenterology – Motility,chemical,CLCN2,0.04,24MCG oral,Once or twice daily,Indefinite (lifelong maintenance)
Lurasidone Hydrochloride,LATUDA,Schizophrenia; Bipolar disorder; Major depressive disorder,Psychiatry – Psychotic,chemical,HTR2A | DRD2,1.26,120MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Macitentan,MACITENTAN,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,EDNRB,0.39,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Macitentan; Tadalafil,OPSYNVI,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,EDNRB | PDE5A,,10MG; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
"Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Monobasic; Sodium Acetate; Sodium Chloride; Sodium Gluconate; Sodium Phosphate, Dibasic, Heptahydrate",ISOLYTE S PH 7.4 IN PLASTIC CONTAINER,GERD,Endocrinology – Metabolic,chemical,Supplement,0.11,30MG/100ML; 37MG/100ML …,As directed,Indefinite (lifelong maintenance)
Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Gluconate,ISOLYTE S IN PLASTIC CONTAINER,GERD,Endocrinology – Metabolic,chemical,Supplement,,30MG/100ML; 37MG/100ML …,As directed,Indefinite (lifelong maintenance)
