Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Pitavastatin Magnesium,openfda.generic_name=Pitavastatin,openFDA label,2,Familial hypercholesterolemia; Dyslipidemia / hypercholesterolemia,"Pitavastatin tablets are indicated as an adjunct to diet to reduce low-density lipoprotein cholesterol (LDL-C) in: Adult with primary hyperlipidemia. Adults with heterozygous familial hypercholesterolemia (HeFH). Pediatric use information is approved for Kowa Co Ltd’s LIVALO (pitavastatin) tablets. However, due to Kowa Co Ltd’s marketing exclusivity rights, this drug product is not labeled with that information. Pitavastatin is a HMG-CoA reductase inhibitor (statin) indicated as an adjunct to diet to reduce low-density lipoprotein cholesterol (LDL-C) in: Adult patients with primary hyperlipide"
Pitolisant Hydrochloride,openfda.generic_name=Pitolisant,openFDA label,1,Narcolepsy / EDS,WAKIX is indicated for the treatment of excessive daytime sleepiness (EDS) or cataplexy in patients 6 years of age and older with narcolepsy. WAKIX is a histamine-3 (H3) receptor antagonist/inverse agonist indicated for the treatment of excessive daytime sleepiness (EDS) or cataplexy patients 6 years of age and older with narcolepsy
Plecanatide,openfda.generic_name=Plecanatide,openFDA label,2,Irritable bowel syndrome; Chronic constipation,TRULANCE is indicated in adults for the treatment of: chronic idiopathic constipation (CIC). irritable bowel syndrome with constipation (IBS-C). TRULANCE is a guanylate cyclase-C agonist indicated in adults for treatment of: chronic idiopathic constipation (CIC). irritable bowel syndrome with constipation (IBS-C).
Pomalidomide,openfda.generic_name=Pomalidomide,openFDA label,1,Multiple myeloma,"Pomalidomide capsules are a thalidomide analogue indicated for the treatment of adult patients: in combination with dexamethasone, for patients with multiple myeloma (MM) who have received at least two prior therapies including lenalidomide and a proteasome inhibitor and have demonstrated disease progression on or within 60 days of completion of the last therapy . with AIDS-related Kaposi sarcoma (KS) after failure of highly active antiretroviral therapy (HAART) or in patients with KS who are HIV-negative. This indication is approved under accelerated approval based on overall response rate. C"
Ponatinib Hydrochloride,openfda.generic_name=Ponatinib,openFDA label,1,Acute lymphoblastic leukemia,ICLUSIG ® is indicated for the treatment of adult patients with: Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+ ALL) Newly diagnosed Ph+ ALL in combination with chemotherapy. This indication is approved under accelerated approval based on minimal residual disease (MRD)-negative complete remission (CR) at the end of induction . Continued approval for this indication may be contingent upon verification of clinical benefit in a confirmatory trial(s). As monotherapy in Ph+ ALL for whom no other kinase inhibitors are indicated or T315I-positive Ph+ ALL. Chronic Myeloid Leukemia 
Ponesimod,openfda.generic_name=Ponesimod,openFDA label,1,Multiple sclerosis,"PONVORY is indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults. PONVORY is a sphingosine 1-phosphate receptor modulator indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults."
Potassium Chloride,openfda.generic_name=Potassium,openFDA label,0,,"Potassium Chloride Extended-Release Tablets are indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis, in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient. Potassium Chloride Extended-Release Tablets are a potassium salt, indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient."
Potassium Chloride; Sodium Chloride,openfda.generic_name=Potassium and Sodium,openFDA label,1,Narcolepsy / EDS,XYWAV is a central nervous system depressant indicated for the treatment of: • Cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy . • Idiopathic Hypersomnia (IH) in adults . 1.1 Narcolepsy XYWAV is indicated for the treatment of cataplexy or excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy. 1.2 Idiopathic Hypersomnia XYWAV is indicated for the treatment of idiopathic hypersomnia (IH) in adults.
Potassium Citrate,openfda.generic_name=Potassium,openFDA label,0,,"Potassium Chloride Extended-Release Tablets are indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis, in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient. Potassium Chloride Extended-Release Tablets are a potassium salt, indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient."
"Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic",openfda.brand_name=POTASSIUM PHOSPHATES,openFDA label,0,,"Potassium phosphates injection is indicated as a source of phosphorus: in intravenous fluids to correct hypophosphatemia in adults and pediatric patients when oral or enteral replacement is not possible, insufficient or contraindicated. for parenteral nutrition in adults and pediatric patients when oral or enteral nutrition is not possible, insufficient or contraindicated. Potassium phosphates injection is a phosphorus replacement product indicated as a source of phosphorus: in intravenous fluids to correct hypophosphatemia in adults and pediatric patients when oral or enteral replacement is n"
Pralsetinib,openfda.generic_name=Pralsetinib,openFDA label,3,Non-small cell lung cancer; Small cell lung cancer; Thyroid cancer,GAVRETO is a kinase inhibitor indicated for treatment of: Adult patients with metastatic rearranged during transfection (RET ) fusion-positive non-small cell lung cancer as detected by an FDA approved test (NSCLC). Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate). This indication is approved under accelerated approval based on overall response rate and duration of response. Continued approval for this indication may b
Pramipexole Dihydrochloride,openfda.generic_name=Pramipexole Dihydrochloride,openFDA label,1,Parkinson's disease,Pramipexole dihydrochloride extended-release tablets are indicated for the treatment of Parkinson's disease. Pramipexole dihydrochloride extended-release tablet is a non-ergot dopamine agonist indicated for the treatment of Parkinson’s disease (PD)
Prasugrel Hydrochloride,openfda.generic_name=Prasugrel,openFDA label,2,Angina; Myocardial infarction (risk reduction),Prasugrel tablets are a P2Y 12 platelet inhibitor indicated for the reduction of thrombotic cardiovascular events (including stent thrombosis) in patients with acute coronary syndrome who are to be managed with percutaneous coronary intervention (PCI) as follows: Patients with unstable angina or non-ST-elevation myocardial infarction (NSTEMI) . Patients with ST-elevation myocardial infarction (STEMI) when managed with either primary or delayed PCI . 1.1 Acute Coronary Syndrome Prasugrel tablets are indicated to reduce the rate of thrombotic CV events (including stent thrombosis) in patients wi
Pravastatin Sodium,openfda.generic_name=Pravastatin,openFDA label,0,,"Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. Pravastatin Sodium is an HMG-CoA reductase inhibitor (statin) indicated as an adjunctive therapy to diet to: Reduce the risk of MI, revascularization, and cardiovascular mortality in hypercholesterolemic"
Prazosin Hydrochloride,openfda.generic_name=Prazosin,openFDA label,1,Hypertension,"INDICATIONS AND USAGE Prazosin hydrochloride capsules are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including this drug. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessat"
Pregabalin,openfda.generic_name=Pregabalin,openFDA label,3,Diabetes mellitus; Epilepsy / seizures; Neuropathic pain / fibromyalgia,Pregabalin capsules are indicated for: Management of neuropathic pain associated with diabetic peripheral neuropathy Management of postherpetic neuralgia Adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older Management of fibromyalgia Management of neuropathic pain associated with spinal cord injury Pregabalin capsules are indicated for: Neuropathic pain associated with diabetic peripheral neuropathy (DPN) Postherpetic neuralgia (PHN) Adjunctive therapy for the treatment of partial-onset seizures in patients 1 month of age and older Fibromyalgia Ne
Primaquine Phosphate,openfda.generic_name=Primaquine,openFDA label,0,,INDICATIONS AND USAGE Primaquine phosphate is indicated for the radical cure (prevention of relapse) of vivax malaria.
Primidone,openfda.generic_name=Primidone,openFDA label,1,Epilepsy / seizures,"INDICATIONS AND USAGE Primidone, used alone or concomitantly with other anticonvulsants, is indicated in the control of grand mal, psychomotor, and focal epileptic seizures. It may control grand mal seizures refractory to other anticonvulsant therapy."
Probenecid,openfda.generic_name=Probenecid,openFDA label,0,,"ORLYNVAH, a combination of sulopenem etzadroxil, a penem antibacterial, and probenecid, a renal tubular transport inhibitor, is indicated for the treatment of uncomplicated urinary tract infections (uUTI) caused by the designated microorganisms Escherichia coli, Klebsiella pneumoniae, or Proteus mirabilis in adult women who have limited or no alternative oral antibacterial treatment options. Limitations of Use ORLYNVAH is not indicated for the treatment of: Complicated urinary tract infections (cUTI) or as step-down treatment after intravenous antibacterial treatment of cUTI. ( 1.1 , 14.2 ) Co"
Probenecid; Sulopenem Etzadroxil,openfda.brand_name=ORLYNVAH,openFDA label,0,,"ORLYNVAH, a combination of sulopenem etzadroxil, a penem antibacterial, and probenecid, a renal tubular transport inhibitor, is indicated for the treatment of uncomplicated urinary tract infections (uUTI) caused by the designated microorganisms Escherichia coli, Klebsiella pneumoniae, or Proteus mirabilis in adult women who have limited or no alternative oral antibacterial treatment options. Limitations of Use ORLYNVAH is not indicated for the treatment of: Complicated urinary tract infections (cUTI) or as step-down treatment after intravenous antibacterial treatment of cUTI. ( 1.1 , 14.2 ) Co"
Procarbazine Hydrochloride,openfda.generic_name=Procarbazine,openFDA label,0,,"INDICATIONS AND USAGE Matulane is indicated for use in combination with other anticancer drugs for the treatment of Stage III and IV Hodgkin's disease. Matulane is used as part of the MOPP (nitrogen mustard, vincristine, procarbazine, prednisone) regimen."
Progesterone,openfda.generic_name=Progesterone,openFDA label,1,Menopausal / hormone therapy,INDICATIONS AND USAGE Progesterone capsules are indicated for use in the prevention of endometrial hyperplasia in nonhysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea.
Propafenone Hydrochloride,openfda.generic_name=Propafenone,openFDA label,2,Atrial fibrillation; Cardiac arrhythmia,"Propafenone hydrochloride tablets are indicated to: prolong the time to recurrence of paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms in patients without structural heart disease. prolong the time to recurrence of paroxysmal supraventricular tachycardia (PSVT) associated with disabling symptoms in patients without structural heart disease. treat documented ventricular arrhythmias, such as sustained ventricular tachycardia that, in the judgment of the physician, are life-threatening. Initiate treatment in the hospital. Usage Considerations: The use of propafenone"
Propranolol Hydrochloride,openfda.generic_name=Propranolol,openFDA label,3,Atrial fibrillation; Angina; Myocardial infarction (risk reduction),"INDICATIONS AND USAGE Hypertension Propranolol hydrochloride tablets are indicated in the management of hypertension. It may be used alone or used in combination with other antihypertensive agents, particularly a thiazide diuretic. Propranolol hydrochloride is not indicated in the management of hypertensive emergencies. Angina Pectoris Due to Coronary Atherosclerosis Propranolol hydrochloride tablets are indicated to decrease angina frequency and increase exercise tolerance in patients with angina pectoris. Atrial Fibrillation Propranolol hydrochloride tablets are indicated to control ventricu"
Propylthiouracil,openfda.generic_name=Propylthiouracil,openFDA label,1,Hyperthyroidism,INDICATIONS AND USAGE Propylthiouracil is indicated: in patients with Graves’ disease with hyperthyroidism or toxic multinodular goiter who are intolerant of methimazole and for whom surgery or radioactive iodine therapy is not an appropriate treatment option to ameliorate symptoms of hyperthyroidism in preparation for thyroidectomy or radioactive iodine therapy in patients who are intolerant of methimazole.
Protriptyline Hydrochloride,openfda.generic_name=Protriptyline,openFDA label,1,Major depressive disorder,INDICATIONS AND USAGE Protriptyline hydrochloride tablets are indicated for the treatment of symptoms of mental depression in patients who are under close medical supervision. Its activating properties make it particularly suitable for withdrawn and anergic patients.
Prucalopride Succinate,openfda.generic_name=Prucalopride,openFDA label,1,Chronic constipation,Prucalopride tablets are indicated for the treatment of chronic idiopathic constipation (CIC) in adults. Prucalopride tablets are a serotonin-4 (5-HT 4 ) receptor agonist indicated for the treatment of chronic idiopathic constipation (CIC) in adults.
Pyridostigmine Bromide,openfda.generic_name=Pyridostigmine,openFDA label,1,Myasthenia gravis,INDICATIONS AND USAGE Pyridostigmine Bromide Tablets USP are useful in the treatment of myasthenia gravis.
Pyridoxine Hydrochloride,openfda.generic_name=Pyridoxine,openFDA label,0,,INDICATIONS: PNV-DHA is a multivitamin/multimineral nutritional supplement indicated for use in the dietary management of patients with nutritional deficiencies or are in need of nutritional supplementation.
Quetiapine Fumarate,openfda.generic_name=Quetiapine,openFDA label,2,Schizophrenia; Bipolar disorder,"1 INDICATIONS & USAGE Quetiapine is an atypical antipsychotic indicated for the treatment of: Schizophrenia Bipolar I disorder manic episodes Bipolar disorder, depressive episodes 1.1 Schizophrenia Quetiapine is indicated for the treatment of schizophrenia. The efficacy of quetiapine in schizophrenia was established in three 6-week trials in adults and one 6-week trial in adolescents (13 to 17 years). The effectiveness of quetiapine for the maintenance treatment of schizophrenia has not been systematically evaluated in controlled clinical trials [ see Clinical Studies ]. 1.2 Bipolar Disorder Q"
Quinapril Hydrochloride,openfda.generic_name=Quinapril,openFDA label,1,Hypertension,"INDICATIONS AND USAGE Hypertension Quinapril tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with quinapril tablets. Control of high blood pressure should be part of comprehensive cardiovascul"
Quinidine Gluconate,openfda.generic_name=Quinidine,openFDA label,0,,"NUEDEXTA is indicated for the treatment of pseudobulbar affect (PBA). PBA occurs secondary to a variety of otherwise unrelated neurologic conditions, and is characterized by involuntary, sudden, and frequent episodes of laughing and/or crying. PBA episodes typically occur out of proportion or incongruent to the underlying emotional state. PBA is a specific condition, distinct from other types of emotional lability that may occur in patients with neurological disease or injury. NUEDEXTA is a combination product containing dextromethorphan hydrobromide (an uncompetitive NMDA receptor antagonist "
Quinidine Sulfate,openfda.generic_name=Quinidine,openFDA label,0,,"NUEDEXTA is indicated for the treatment of pseudobulbar affect (PBA). PBA occurs secondary to a variety of otherwise unrelated neurologic conditions, and is characterized by involuntary, sudden, and frequent episodes of laughing and/or crying. PBA episodes typically occur out of proportion or incongruent to the underlying emotional state. PBA is a specific condition, distinct from other types of emotional lability that may occur in patients with neurological disease or injury. NUEDEXTA is a combination product containing dextromethorphan hydrobromide (an uncompetitive NMDA receptor antagonist "
Quizartinib Dihydrochloride,openfda.substance_name=Quizartinib Dihydrochloride,openFDA label,0,,"VANFLYTA is indicated in combination with standard cytarabine and anthracycline induction and cytarabine consolidation, and as maintenance monotherapy following consolidation chemotherapy, for the treatment of adult patients with newly diagnosed acute myeloid leukemia (AML) that is FLT3 internal tandem duplication (ITD)-positive as detected by an FDA-approved test . VANFLYTA is a kinase inhibitor indicated in combination with standard cytarabine and anthracycline induction and cytarabine consolidation, and as maintenance monotherapy following consolidation chemotherapy, for the treatment of ad"
Rabeprazole Sodium,openfda.generic_name=Rabeprazole,openFDA label,1,GERD,"Rabeprazole sodium delayed-release tablets is a proton pump inhibitor (PPI) indicated in adults for: Healing of Erosive or Ulcerative Gastroesophageal Reflux Disease (GERD) . Maintenance of Healing of Erosive or Ulcerative GERD . Treatment of Symptomatic GERD . Healing of Duodenal Ulcers . Helicobacter pylori Eradication to Reduce Risk of Duodenal Ulcer Recurrence . Treatment of Pathological Hypersecretory Conditions, Including Zollinger-Ellison Syndrome . In adolescent patients 12 years of age and older for: Short-term Treatment of Symptomatic GERD . 1.1 Healing of Erosive or Ulcerative GERD "
Raloxifene Hydrochloride,openfda.generic_name=Raloxifene,openFDA label,3,Breast cancer; Osteoporosis; Menopausal / hormone therapy,"Raloxifene hydrochloride is an estrogen agonist/antagonist indicated for: Treatment and prevention of osteoporosis in postmenopausal women. Reduction in risk of invasive breast cancer in postmenopausal women with osteoporosis. Reduction in risk of invasive breast cancer in postmenopausal women at high risk for invasive breast cancer. Important Limitations: Raloxifene hydrochloride tablets are not indicated for the treatment of invasive breast cancer, reduction of the risk of recurrence of breast cancer, or reduction of risk of noninvasive breast cancer. 1.1 Treatment and Prevention of Osteopor"
Raltegravir Potassium,openfda.generic_name=Raltegravir,openFDA label,1,HIV infection,ISENTRESS® is indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus (HIV-1) infection in patients 4 weeks of age and older. The use of other active agents with ISENTRESS is associated with a greater likelihood of treatment response . ISENTRESS is a human immunodeficiency virus integrase strand transfer inhibitor (HIV-1 INSTI) indicated: In combination with other antiretroviral agents for the treatment of HIV-1 infection in patients 4 weeks of age and older . The use of other active agents with ISENTRESS is associated with a greater likeliho
Ramipril,openfda.generic_name=Ramipril,openFDA label,3,Heart failure; Hypertension; Myocardial infarction (risk reduction),1. INDICATIONS AND USAGE • Ramipril capsules USP are indicated for the treatment of hypertension. It may be used alone or in combination with thiazide diuretics. . • Ramipril capsules USP are indicated in stable patients who have demonstrated clinical signs of congestive heart failure post-myocardial infarction . 1.1 Hypertension Ramipril capsules USP are indicated for the treatment of hypertension. It may be used alone or in combination with thiazide diuretics. 1.3 Heart Failure Post-Myocardial Infarction Ramipril capsules USP are indicated in stable patients who have demonstrated clinical si
Ranitidine Hydrochloride,openfda.generic_name=Ranitidine,openFDA label,1,GERD,Use(s) relieves heartburn associated with acid indigestion and sour stomach prevents heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain foods and beverages
Ranolazine,openfda.generic_name=Ranolazine,openFDA label,1,Angina,"Ranolazine extended-release tablet is indicated for the treatment of chronic angina. Ranolazine extended-release tablet may be used with beta-blockers, nitrates, calcium channel blockers, anti-platelet therapy, lipid-lowering therapy, ACE inhibitors, and angiotensin receptor blockers. Ranolazine extended-release tablet is an antianginal indicated for the treatment of chronic angina."
Rasagiline Mesylate,openfda.generic_name=Rasagiline,openFDA label,1,Parkinson's disease,"Rasagiline tablets are indicated for the treatment of Parkinson's disease (PD). Rasagiline Tablets, a monoamine oxidase (MAO)-B inhibitor (MAOI), is indicated for the treatment of Parkinson's disease"
Regorafenib,openfda.generic_name=Regorafenib,openFDA label,1,Colorectal cancer,"STIVARGA is a kinase inhibitor indicated for the treatment of adult patients with: • Metastatic colorectal cancer (CRC) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-VEGF therapy, and, if RAS wild-type, an anti-EGFR therapy. • Locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate. • Hepatocellular carcinoma (HCC) who have been previously treated with sorafenib 1.1 Colorectal Cancer STIVARGA is indicated for the treatment of"
Relugolix,openfda.generic_name=Relugolix,openFDA label,1,Prostate cancer,ORGOVYX is indicated for the treatment of adult patients with advanced prostate cancer. ORGOVYX is a gonadotropin-releasing hormone (GnRH) receptor antagonist indicated for the treatment of adult patients with advanced prostate cancer .
Remibrutinib,openfda.generic_name=Remibrutinib,openFDA label,0,,RHAPSIDO ® is indicated for the treatment of chronic spontaneous urticaria (CSU) in adult patients who remain symptomatic despite H1 antihistamine treatment. Limitations of Use: RHAPSIDO is not indicated for other forms of urticaria. RHAPSIDO ® is a kinase inhibitor indicated for the treatment of chronic spontaneous urticaria (CSU) in adult patients who remain symptomatic despite H1 antihistamine treatment. Limitations of Use: Not indicated for other forms of urticaria.
Repaglinide,openfda.generic_name=Repaglinide,openFDA label,2,Type 2 diabetes; Diabetes mellitus,Repaglinide tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitation of Use: Repaglinide tablets should not be used in patients with type 1 diabetes mellitus or for the treatment of diabetic ketoacidosis. Repaglinide tablets are a glinide indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitation of Use : Not for treatment of type 1 diabetes mellitus or diabetic ketoacidosis
Repotrectinib,openfda.generic_name=Repotrectinib,openFDA label,2,Non-small cell lung cancer; Small cell lung cancer,AUGTYRO is a kinase inhibitor indicated for the treatment of • adult patients with locally advanced or metastatic ROS1- positive non-small cell lung cancer (NSCLC). • adult and pediatric patients 12 years of age and older with solid tumors that: • have a neurotrophic tyrosine receptor kinase ( NTRK ) gene fusion and • are locally advanced or metastatic or where surgical resection is likely to result in severe morbidity. • have progressed following treatment or have no satisfactory alternative therapy. This indication is approved under accelerated approval based on overall response rate and dur
Ribociclib Succinate,openfda.generic_name=Ribociclib,openFDA label,1,Breast cancer,"KISQALI FEMARA CO-PACK, a co-packaged product containing ribociclib, a kinase inhibitor, and letrozole, an aromatase inhibitor, is indicated: for the adjuvant treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative stage II and III early breast cancer at high risk of recurrence. as initial endocrine-based therapy for the treatment of adults with HR-positive, HER2-negative advanced or metastatic breast cancer therapy. 1.1 Early Breast Cancer KISQALI ® FEMARA ® CO-PACK is indicated for the adjuvant treatment of adults with hormone recepto"
Riboflavin 5'-phosphate Sodium,openfda.generic_name=Riboflavin 5'-phosphate,openFDA label,0,,"EPIOXA HD and EPIOXA are indicated in epithelium-on corneal collagen cross-linking for the treatment of keratoconus in adults and pediatric patients aged 13 years and older, in conjunction with the O 2 n System and the Boost Goggles. EPIOXA HD and EPIOXA are photoenhancers indicated for use in epithelium-on corneal collagen cross-linking for the treatment of keratoconus in adults and pediatric patients aged 13 years and older, in conjunction with the O 2 n System and the Boost Goggles ."
Rilpivirine Hydrochloride,openfda.generic_name=Rilpivirine,openFDA label,1,HIV infection,"EDURANT and EDURANT PED are a human immunodeficiency virus type 1 (HIV-1) specific, non-nucleoside reverse transcriptase inhibitor (NNRTI) indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in treatment-naïve patients 2 years of age and older and weighing at least 14 kg with HIV-1 RNA less than or equal to 100,000 copies/mL. . Limitations of Use: More EDURANT treated subjects with HIV-1 RNA greater than 100,000 copies/mL at the start of therapy experienced virologic failure (HIV-1 RNA ≥50 copies/mL) compared to EDURANT treated subjects with HIV-1 RNA"
Riluzole,openfda.brand_name=RILUZOLE,openFDA label,1,ALS,"Riluzole tablets, USP are indicated for the treatment of amyotrophic lateral sclerosis (ALS). Riluzole is indicated for the treatment of amyotrophic lateral sclerosis (ALS)"
Rilzabrutinib,openfda.generic_name=Rilzabrutinib,openFDA label,0,,WAYRILZ is indicated for the treatment of adult patients with persistent or chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment. WAYRILZ is a kinase inhibitor indicated for the treatment of adult patients with persistent or chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment.
Riociguat,openfda.generic_name=Riociguat,openFDA label,3,Hypertension; Pulmonary arterial hypertension; Venous thromboembolism,"Adempas is a soluble guanylate cyclase (sGC) stimulator indicated for the treatment of adults with: • Persistent/recurrent Chronic Thromboembolic Pulmonary Hypertension (CTEPH) (WHO Group 4) after surgical treatment or inoperable CTEPH to improve exercise capacity and WHO functional class. • Pulmonary Arterial Hypertension (PAH) (WHO Group 1) to improve exercise capacity, improve WHO functional class and to delay clinical worsening. 1.1 Chronic-Thromboembolic Pulmonary Hypertension Adempas is indicated for the treatment of adults with persistent/recurrent chronic thromboembolic pulmonary hyper"
Ripretinib,openfda.generic_name=Ripretinib,openFDA label,0,,"QINLOCK is indicated for the treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib. QINLOCK is a kinase inhibitor indicated for the treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib."
Risedronate Sodium,openfda.generic_name=Risedronate,openFDA label,2,Osteoporosis; Menopausal / hormone therapy,"Risedronate sodium delayed-release tablets are bisphosphonate in a delayed-release formulation and is indicated for treatment of postmenopausal osteoporosis Limitations of Use Optimal duration of use has not been determined. For patients at low-risk for fracture, consider drug discontinuation after 3 to 5 years of use . 1.1 Postmenopausal Osteoporosis Risedronate sodium delayed-release tablets are indicated for the treatment of osteoporosis in postmenopausal women. In postmenopausal women, risedronate sodium has been shown to reduce the incidence of vertebral fractures and a composite endpoint"
Risperidone,openfda.generic_name=Risperidone,openFDA label,2,Schizophrenia; Bipolar disorder,"Risperidone tablets are an atypical antipsychotic indicated for: Treatment of schizophrenia As monotherapy or adjunctive therapy with lithium or valproate, for the treatment of acute manic or mixed episodes associated with Bipolar I Disorder Treatment of irritability associated with autistic disorder 1.1 Schizophrenia Risperidone tablets are indicated for the treatment of schizophrenia. Efficacy was established in 4 short-term trials in adults, 2 short-term trials in adolescents (ages 13 to 17 years), and one long-term maintenance trial in adults . 1.2 Bipolar Mania Monotherapy Risperidone tab"
Ritlecitinib Tosylate,openfda.generic_name=Ritlecitinib,openFDA label,0,,"LITFULO is a kinase inhibitor indicated for the treatment of severe alopecia areata in adults and adolescents 12 years and older. Limitations of Use : Not recommended for use in combination with other JAK inhibitors, biologic immunomodulators, cyclosporine or other potent immunosuppressants. LITFULO is a kinase inhibitor indicated for the treatment of severe alopecia areata in adults and adolescents 12 years and older. Limitations of Use : Not recommended for use in combination with other JAK inhibitors, biologic immunomodulators, cyclosporine or other potent immunosuppressants ."
Ritonavir,openfda.generic_name=Ritonavir,openFDA label,0,,Lopinavir and ritonavir is indicated in combination with other antiretroviral agents for the treatment of HIV1 infection in adults and pediatric patients 14 days and older. Limitations of Use: Genotypic or phenotypic testing and/or treatment history should guide the use of lopinavir and ritonavir. The number of baseline lopinavir resistance-associated substitutions affects the virologic response to lopinavir and ritonavir . Lopinavir and ritonavir is an HIV-1 protease inhibitor indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults and pediatri
Rivaroxaban,openfda.generic_name=Rivaroxaban,openFDA label,3,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis,"XARELTO is a factor Xa inhibitor indicated: to reduce risk of stroke and systemic embolism in nonvalvular atrial fibrillation for treatment of deep vein thrombosis (DVT) for treatment of pulmonary embolism (PE) for reduction in the risk of recurrence of DVT or PE for the prophylaxis of DVT, which may lead to PE in patients undergoing knee or hip replacement surgery for prophylaxis of venous thromboembolism (VTE) in acutely ill medical patients to reduce the risk of major cardiovascular events in patients with coronary artery disease (CAD) to reduce the risk of major thrombotic vascular events "
Rivastigmine,openfda.generic_name=Rivastigmine,openFDA label,2,Parkinson's disease; Alzheimer's disease / dementia,Rivastigmine tartrate capsules are an acetylcholinesterase inhibitor indicated for treatment of: Mild-to-moderate dementia of the Alzheimer’s type (AD) Mild-to-moderate dementia associated with Parkinson’s disease (PD) 1.1 Alzheimer’s Disease Rivastigmine tartrate capsules are indicated for the treatment of mild-to-moderate dementia of the Alzheimer's type (AD). 1.2 Parkinson’s Disease Dementia Rivastigmine tartrate capsules are indicated for the treatment of mild-to-moderate dementia associated with Parkinson’s disease (PD).
Rivastigmine Tartrate,openfda.generic_name=Rivastigmine,openFDA label,2,Parkinson's disease; Alzheimer's disease / dementia,Rivastigmine tartrate capsules are an acetylcholinesterase inhibitor indicated for treatment of: Mild-to-moderate dementia of the Alzheimer’s type (AD) Mild-to-moderate dementia associated with Parkinson’s disease (PD) 1.1 Alzheimer’s Disease Rivastigmine tartrate capsules are indicated for the treatment of mild-to-moderate dementia of the Alzheimer's type (AD). 1.2 Parkinson’s Disease Dementia Rivastigmine tartrate capsules are indicated for the treatment of mild-to-moderate dementia associated with Parkinson’s disease (PD).
